"complex","target"
"degradosome","ppk"
"degradosome","pnp"
"degradosome","eno"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","lacG"
"molybdate ABC transporter","sll0739"
"molybdate ABC transporter","modA"
"copper/silver export system","slr6042"
"glycolate dehydrogenase","glcD"
"glycolate dehydrogenase","glcE"
"3-isopropylmalate dehydratase","leuC"
"3-isopropylmalate dehydratase","leuD"
"MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor","slr7041"
"curli secretion and assembly complex","sll1835"
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter","dctP"
"carbamoyl phosphate synthetase","carB"
"carbamoyl phosphate synthetase","carA"
"pyridine nucleotide transhydrogenase","pntB"
"pyridine nucleotide transhydrogenase","pntA"
"poly-<i>N</i>-acetyl-D-glucosamine synthase","sll1377"
"phenylalanine&mdash;tRNA ligase","pheS"
"phenylalanine&mdash;tRNA ligase","pheT"
"sulfate/thiosulfate ABC transporter","sbpA"
"sulfate/thiosulfate ABC transporter","cysW"
"sulfate/thiosulfate ABC transporter","cysT"
"ferrichrome outer membrane transport complex","fhuA"
"phosphate ABC transporter","pstA"
"phosphate ABC transporter","pstC"
"FtsLBQ cell division complex","sll1632"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","slr0074"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","slr0075"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","slr0076"
"50S ribosomal protein complex L8","rplJ"
"50S ribosomal protein complex L8","rplL"
"DNA polymerase V","sll5123"
"RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor","slr0664"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","sll1063"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","tsaD"
"ribonucleoside-diphosphate reductase 1","nrdA"
"ribonucleoside-diphosphate reductase 1","slr0591"
"ClpXP","clpX"
"lipopolysaccharide transport system","slr0250"
"lipopolysaccharide transport system","slr0251"
"cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase","ctaC"
"cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase","ctaD"
"cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase","ctaE"
"DNA polymerase III, core enzyme","dnaE-C"
"HypCD complex involved in hydrogenase maturation","hypD"
"leucine / L-phenylalanine ABC transporter","livH"
"leucine / L-phenylalanine ABC transporter","natA"
"leucine / L-phenylalanine ABC transporter","livF"
"NADH:quinone oxidoreductase I","ndhC"
"NADH:quinone oxidoreductase I","ndhA"
"NADH:quinone oxidoreductase I","ndhG"
"NADH:quinone oxidoreductase I","ndhE"
"NADH:quinone oxidoreductase I","ndhB"
"NADH:quinone oxidoreductase I","ndhI"
"NADH:quinone oxidoreductase I","hoxU"
"NADH:quinone oxidoreductase I","hoxF"
"NADH:quinone oxidoreductase I","sll1220"
"NADH:quinone oxidoreductase I","ndhJ"
"NADH:quinone oxidoreductase I","ndhH"
"branched chain amino acid / phenylalanine ABC transporter","livF"
"branched chain amino acid / phenylalanine ABC transporter","natA"
"branched chain amino acid / phenylalanine ABC transporter","livH"
"acetyl-CoA carboxylase complex","accD"
"acetyl-CoA carboxylase complex","accA"
"acetyl-CoA carboxylase complex","accC"
"acetyl-CoA carboxylase complex","accB"
"CcmCDE complex","ccsA"
"K<sup>+</sup> transporting P-type ATPase","kdpA"
"K<sup>+</sup> transporting P-type ATPase","kdpB"
"K<sup>+</sup> transporting P-type ATPase","kdpC"
"ABC-type tripartite efflux pump","slr0594"
"ABC-type tripartite efflux pump","slr0544"
"twin arginine protein translocation system","tatC"
"Z-ring inhibitor complex MinCD","minD"
"Z-ring inhibitor complex MinCD","minC"
"resolvasome","ruvC"
"resolvasome","ruvB"
"resolvasome","ruvA"
"ATP synthase F<sub>o</sub> complex","atpE"
"ATP synthase F<sub>o</sub> complex","atpB"
"RNA polymerase sigma 70","rpoB"
"RNA polymerase sigma 70","rpoA"
"RNA polymerase sigma 28","rpoF"
"RNA polymerase sigma 28","rpoB"
"RNA polymerase sigma 28","rpoA"
"RNA polymerase sigma 24","rpoB"
"RNA polymerase sigma 24","rpoA"
"RNA polymerase sigma 24","rpoE"
"RNA polymerase sigma 32","rpoB"
"RNA polymerase sigma 32","rpoA"
"acetyl-CoA carboxyltransferase","accA"
"acetyl-CoA carboxyltransferase","accD"
"RNA polymerase sigma S","rpoB"
"RNA polymerase sigma S","rpoA"
"RNA polymerase sigma 54","rpoB"
"RNA polymerase sigma 54","rpoA"
"RNA polymerase sigma 19","rpoB"
"RNA polymerase sigma 19","rpoA"
"YhaV-PrlF toxin-antitoxin complex","sohA"
"YhaV-PrlF toxin-antitoxin complex","slr0725"
"metalloprotease TldDE","slr0863"
"spermidine preferential ABC transporter","slr0401"
"Ubi complex","chlM"
"NusB-S10 complex","rpsJ"
"NusB-S10 complex","nusB"
"GroEL-GroES chaperonin complex","groES"
"excision nuclease UvrABC","uvrB"
"excision nuclease UvrABC","uvrC"
"excision nuclease UvrABC","uvrA"
"CcmABCD release complex","ccsA"
"HypA-HypB heterodimer","hypB"
"tryptophan synthase","trpA"
"tryptophan synthase","trpB"
"ATP synthase / thiamin triphosphate synthase","atpB"
"ATP synthase / thiamin triphosphate synthase","atpE"
"ATP synthase / thiamin triphosphate synthase","atpD"
"ATP synthase / thiamin triphosphate synthase","atpG"
"ATP synthase / thiamin triphosphate synthase","atpA"
"ATP synthase / thiamin triphosphate synthase","atpH"
"ATP synthase / thiamin triphosphate synthase","atpC"
"primosome","dnaB"
"primosome","priA"
"primosome","dnaG"
"Sec Holo-Translocon","secF"
"Sec Holo-Translocon","secD"
"Sec Holo-Translocon","secY"
"Sec Holo-Translocon","ycf47"
"Sec Holo-Translocon","secE"
"Sec Holo-Translocon","yidC"
"NADH:quinone oxidoreductase I, peripheral arm","ndhJ"
"NADH:quinone oxidoreductase I, peripheral arm","ndhH"
"NADH:quinone oxidoreductase I, peripheral arm","sll1220"
"NADH:quinone oxidoreductase I, peripheral arm","hoxF"
"NADH:quinone oxidoreductase I, peripheral arm","hoxU"
"NADH:quinone oxidoreductase I, peripheral arm","ndhI"
"ATP synthase F<sub>1</sub> complex","atpC"
"ATP synthase F<sub>1</sub> complex","atpH"
"ATP synthase F<sub>1</sub> complex","atpA"
"ATP synthase F<sub>1</sub> complex","atpG"
"ATP synthase F<sub>1</sub> complex","atpD"
"acetolactate synthase / acetohydroxybutanoate synthase","ilvH"
"cysteine synthase complex","cysE"
"cysteine synthase complex","cysK"
"Grx4-BolA complex","ssr3122"
"Grx4-BolA complex","slr1846"
"MutHLS complex, methyl-directed mismatch repair","mutL"
"MutHLS complex, methyl-directed mismatch repair","mutS"
"ATP-dependent structure-specific DNA nuclease","sbcC"
"ATP-dependent structure-specific DNA nuclease","sbcD"
"Grx4-IbaG complex","slr1846"
"Outer Membrane Protein Assembly Complex","IAP75"
"DNA polymerase III, holoenzyme","dnaE-C"
"DNA polymerase III, holoenzyme","sll0544"
"DNA polymerase III, holoenzyme","dnaX"
"DNA polymerase III, holoenzyme","dnaN"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase","tsaE"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase","tsaD"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase","sll1063"
"assimilatory sulfite reductase (NADPH)","petH"
"assimilatory sulfite reductase (NADPH)","sir"
"succinyl-CoA synthetase","sucD"
"succinyl-CoA synthetase","sucC"
"aspartate carbamoyltransferase","pyrB"
"RecFOR complex","recF"
"RecFOR complex","recR"
"RecFOR complex","recO"
"ClpAXP","clpX"
"molybdopterin synthase","slr0821"
"molybdopterin synthase","slr0903"
"thiosulfate/sulfate ABC transporter","cysW"
"thiosulfate/sulfate ABC transporter","cysT"
"glutathione ABC transporter","sll1927"
"4-amino-4-deoxychorismate synthase","trpG"
"putative transport complex, ABC superfamily","sll0415"
"ferric enterobactin ABC transporter","fecE"
"HigB-HigA toxin/antitoxin complex and DNA-binding transcriptional repressor","slr6100"
"thiazole synthase","thiO/thiG"
"DNA polymerase III, preinitiation complex","dnaX"
"DNA polymerase III, preinitiation complex","sll0544"
"SecYEG translocon","secE"
"SecYEG translocon","ycf47"
"SecYEG translocon","secY"
"taurine ABC transporter","sll1081"
"5-carboxymethylaminomethyluridine-tRNA synthase [multifunctional]","mnmE"
"5-carboxymethylaminomethyluridine-tRNA synthase [multifunctional]","mnmG"
"L-methionine/D-methionine ABC transporter","sll1870"
"glycine&mdash;tRNA ligase","glyS"
"glycine&mdash;tRNA ligase","glyQ"
"YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor","yoeB"
"YefM-YoeB antitoxin/toxin complex / DNA-binding transcriptional repressor","ssr0761"
"S6:S18 ribosomal subunit complex","rpsR"
"S6:S18 ribosomal subunit complex","rpsF"
"imidazole glycerol phosphate synthase","hisH"
"imidazole glycerol phosphate synthase","hisF"
"glycine cleavage system","gcvP"
"glycine cleavage system","gcvH"
"glycine cleavage system","gcvT"
"Sec translocon accessory complex","secD"
"Sec translocon accessory complex","secF"
"NAD-dependent dihydropyrimidine dehydrogenase","ssr3184"
"RNA polymerase, core enzyme","rpoA"
"RNA polymerase, core enzyme","rpoB"
