"complex","target"
"intermembrane phospholipid transport system","cce_2669"
"intermembrane phospholipid transport system","cce_4736"
"intermembrane phospholipid transport system","cce_2668"
"degradosome","ppk"
"degradosome","pnp"
"degradosome","eno"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","cce_0286"
"cryptic phosphonate/phosphate ABC transporter","phnC"
"molybdate ABC transporter","cyl0013"
"molybdate ABC transporter","modA"
"copper/silver export system","czcA"
"glycolate dehydrogenase","glcD"
"glycolate dehydrogenase","glcE"
"3-isopropylmalate dehydratase","leuC"
"3-isopropylmalate dehydratase","leuD"
"periplasmic protein-L-methionine sulfoxide reducing system","cce_3402"
"carbamoyl phosphate synthetase","carB"
"carbamoyl phosphate synthetase","carA"
"aldehyde dehydrogenase","cce_3509"
"pyridine nucleotide transhydrogenase","pntB"
"poly-<i>N</i>-acetyl-D-glucosamine synthase","cce_3237"
"phenylalanine&mdash;tRNA ligase","pheS"
"phenylalanine&mdash;tRNA ligase","pheT"
"sulfate/thiosulfate ABC transporter","sbpA"
"sulfate/thiosulfate ABC transporter","cysW"
"sulfate/thiosulfate ABC transporter","cysT"
"ferrichrome outer membrane transport complex","cce_3039"
"FtsLBQ cell division complex","cce_1373"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","sufB"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","sufC"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","sufD"
"50S ribosomal protein complex L8","rplJ"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","cce_3093"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","tsaD"
"ribonucleoside-diphosphate reductase 1","nrdA"
"ClpXP","clpX"
"lipopolysaccharide transport system","cce_2029"
"lipopolysaccharide transport system","cce_2028"
"putative transport complex, ABC superfamily","cce_0943"
"putative transport complex, ABC superfamily","cce_0942"
"DNA polymerase III, core enzyme","dnaE-n"
"HypCD complex involved in hydrogenase maturation","hypD"
"leucine / L-phenylalanine ABC transporter","cce_3156"
"leucine / L-phenylalanine ABC transporter","cce_2946"
"leucine / L-phenylalanine ABC transporter","natA"
"leucine / L-phenylalanine ABC transporter","cce_4521"
"NADH:quinone oxidoreductase I","ndhC"
"NADH:quinone oxidoreductase I","ndhA"
"NADH:quinone oxidoreductase I","ndhG"
"NADH:quinone oxidoreductase I","ndhE"
"NADH:quinone oxidoreductase I","ndhB"
"NADH:quinone oxidoreductase I","ndhI"
"NADH:quinone oxidoreductase I","hoxU"
"NADH:quinone oxidoreductase I","hoxF"
"NADH:quinone oxidoreductase I","hoxE"
"NADH:quinone oxidoreductase I","ndhH"
"NADH:quinone oxidoreductase I","ndhJ"
"NADH:quinone oxidoreductase I","ndhK"
"branched chain amino acid / phenylalanine ABC transporter","cce_4521"
"branched chain amino acid / phenylalanine ABC transporter","natA"
"branched chain amino acid / phenylalanine ABC transporter","cce_2946"
"branched chain amino acid / phenylalanine ABC transporter","cce_3156"
"acetyl-CoA carboxylase complex","accD"
"acetyl-CoA carboxylase complex","accA"
"acetyl-CoA carboxylase complex","accC"
"acetyl-CoA carboxylase complex","accB"
"CcmCDE complex","ccsA"
"K<sup>+</sup> transporting P-type ATPase","kdpA"
"K<sup>+</sup> transporting P-type ATPase","kdpB"
"K<sup>+</sup> transporting P-type ATPase","kdpC"
"twin arginine protein translocation system","tatC"
"Z-ring inhibitor complex MinCD","minD"
"Z-ring inhibitor complex MinCD","minC"
"resolvasome","ruvB"
"resolvasome","ruvA"
"cellulose synthase","cce_1003"
"RNA polymerase sigma 70","rpoB"
"RNA polymerase sigma 70","rpoA"
"RNA polymerase sigma 28","rpoB"
"RNA polymerase sigma 28","rpoA"
"RNA polymerase sigma 24","rpoB"
"RNA polymerase sigma 24","rpoA"
"RNA polymerase sigma 24","sigG"
"RNA polymerase sigma 32","rpoB"
"RNA polymerase sigma 32","rpoA"
