"complex","target"
"lipoprotein release complex","ycfW"
"lipoprotein release complex","lolD"
"lipoprotein release complex","ycfU"
"RcsAB DNA-binding transcriptional dual regulator","rcsB"
"RcsAB DNA-binding transcriptional dual regulator","rcsA"
"Autoinducer-2 ABC transporter","yneA"
"Autoinducer-2 ABC transporter","ydeZ"
"Autoinducer-2 ABC transporter","ydeY"
"Autoinducer-2 ABC transporter","ego"
"intermembrane phospholipid transport system","yrbB"
"intermembrane phospholipid transport system","yrbD"
"intermembrane phospholipid transport system","yrbE"
"intermembrane phospholipid transport system","yrbF"
"degradosome","ppk"
"degradosome","rne"
"degradosome","pnp"
"degradosome","eno"
"lipopolysaccharide transport system - outer membrane assembly complex","imp"
"lipopolysaccharide transport system - outer membrane assembly complex","rlpB"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","ugpA"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","ugpE"
"<i>sn</i>-glycerol 3-phosphate / glycerophosphodiester ABC transporter","ugpB"
"multidrug efflux pump EmrAB-TolC","tolC"
"selenate reductase","dmsA2"
"DcuS-DctA sensor complex","dctA"
"DcuS-DctA sensor complex","dcuS"
"periplasmic nitrate reductase","napB"
"periplasmic nitrate reductase","napA"
"molybdate ABC transporter","modC"
"molybdate ABC transporter","modB"
"molybdate ABC transporter","modA"
"copper/silver export system","SL1344_0345"
"DNA polymerase III, &psi;-&chi; subunit","holC"
"DNA polymerase III, &psi;-&chi; subunit","holD"
"3-isopropylmalate dehydratase","leuD"
"N-acetylmuramic acid-specific PTS enzyme II","crr"
"5-oxoprolinase","ybgK"
"5-oxoprolinase","ybgJ"
"5-oxoprolinase","ybgL"
"curli secretion and assembly complex","csgF"
"curli secretion and assembly complex","csgG"
"GadE-RcsB DNA-binding transcriptional activator","rcsB"
"periplasmic protein-L-methionine sulfoxide reducing system","msrQ"
"periplasmic protein-L-methionine sulfoxide reducing system","msrP"
"fructose-specific PTS enzyme II","fruB"
"fructose-specific PTS enzyme II","fruA"
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter","yiaO"
"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter","yiaN"
"carbamoyl phosphate synthetase","carB"
"carbamoyl phosphate synthetase","carA"
"pyridine nucleotide transhydrogenase","pntB"
"pyridine nucleotide transhydrogenase","pntA"
"pyruvate dehydrogenase","aceE"
"pyruvate dehydrogenase","aceF"
"ethanolamine ammonia-lyase","eutB"
"ethanolamine ammonia-lyase","eutC"
"phenylalanine&mdash;tRNA ligase","pheS"
"phenylalanine&mdash;tRNA ligase","pheT"
"putative transport complex, ABC superfamily","ybbP"
"putative transport complex, ABC superfamily","ybbA"
"sulfate/thiosulfate ABC transporter","sbp"
"sulfate/thiosulfate ABC transporter","cysW"
"sulfate/thiosulfate ABC transporter","cysU"
"galactitol-specific PTS enzyme II","gatC"
"galactitol-specific PTS enzyme II","gatB"
"galactitol-specific PTS enzyme II","gatA"
"vitamin B<sub>12</sub> ABC transporter","btuD"
"vitamin B<sub>12</sub> ABC transporter","btuC"
"vitamin B<sub>12</sub> ABC transporter","btuF"
"nitrate reductase Z","narZ"
"ferrichrome outer membrane transport complex","exbD"
"ferrichrome outer membrane transport complex","exbB"
"ferrichrome outer membrane transport complex","tonB"
"oligopeptide ABC transporter","oppC"
"oligopeptide ABC transporter","oppB"
"oligopeptide ABC transporter","oppA"
"phosphate ABC transporter","pstB"
"phosphate ABC transporter","pstA"
"phosphate ABC transporter","pstC"
"phosphate ABC transporter","pstS"
"FtsLBQ cell division complex","ftsQ"
"FtsLBQ cell division complex","ftsB"
"FtsLBQ cell division complex","ftsL"
"DcuS-DcuB sensor complex","dcuB"
"DcuS-DcuB sensor complex","dcuS"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","sufB"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","sufC"
"SufBC<sub>2</sub>D Fe-S cluster scaffold complex","sufD"
"DNA-binding transcriptional  repressor CRP-Sxy","sxy"
"DNA-binding transcriptional  repressor CRP-Sxy","crp"
"flagellum","fliF"
"flagellum","flgI"
"flagellum","flgG"
"flagellum","flgF"
"flagellum","flgC"
"flagellum","flgB"
"flagellum","motA"
"flagellum","flgH"
"flagellum","fliG"
"flagellum","fliM"
"flagellum","fliN"
"flagellum","flgE"
"flagellum","flgK"
"flagellum","flgL"
"flagellum","fliD"
"iron(III) hydroxamate ABC transporter","fhuC"
"iron(III) hydroxamate ABC transporter","fhuB"
"iron(III) hydroxamate ABC transporter","fhuD"
"holocytochrome <I>c</I> synthase complex","ccmH1"
"holocytochrome <I>c</I> synthase complex","ccmF1"
"hydrogenase 3","hycB"
"multidrug/spermidine efflux pump","ydgF"
"multidrug/spermidine efflux pump","ydgE"
"50S ribosomal protein complex L8","rplJ"
"50S ribosomal protein complex L8","rplL"
"DNA polymerase V","samB"
"DNA polymerase V","umuD"
"multidrug efflux pump AcrAD-TolC","tolC"
"cytochrome <i>bd</i>-II ubiquinol oxidase","appB"
"succinate:quinone oxidoreductase subcomplex","sdhB"
"succinate:quinone oxidoreductase subcomplex","sdhC"
"succinate:quinone oxidoreductase subcomplex","sdhD"
"RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor","relB"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","yeaZ"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","gcp"
"ribonucleoside-diphosphate reductase 1","nrdA"
"ribonucleoside-diphosphate reductase 1","nrdB"
"Tap<SUP>glu-Me</SUP>","cheA"
"Tap<SUP>glu-Me</SUP>","cheW"
"flagellar basal body","fliN"
"flagellar basal body","fliM"
"flagellar basal body","fliG"
"flagellar basal body","flgH"
"flagellar basal body","motA"
"flagellar basal body","flgB"
"flagellar basal body","flgC"
"flagellar basal body","flgF"
"flagellar basal body","flgG"
"flagellar basal body","flgI"
"flagellar basal body","fliF"
"exodeoxyribonuclease V","recD"
"exodeoxyribonuclease V","recC"
"exodeoxyribonuclease V","recB"
"putative PTS enzyme II SgcBCA","SL1344_1543"
"putative PTS enzyme II SgcBCA","SL1344_1544"
"putative PTS enzyme II SgcBCA","SL1344_1546"
"ClpXP","clpP"
"ClpXP","clpX"
"MukEF complex","mukE"
"MukEF complex","mukF"
"lipopolysaccharide transport system","rlpB"
"lipopolysaccharide transport system","imp"
"lipopolysaccharide transport system","yjgQ"
"lipopolysaccharide transport system","yrbK"
"lipopolysaccharide transport system","yhbN"
"lipopolysaccharide transport system","yhbG"
"lipopolysaccharide transport system","yjgP"
"acetohydroxybutanoate synthase / acetolactate synthase","ilvB"
"acetohydroxybutanoate synthase / acetolactate synthase","ilvN"
"cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase","cyoD"
"cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase","cyoA"
"cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase","cyoB"
"cytochrome <i>bo<sub>3</sub></i> ubiquinol oxidase","cyoC"
"glutathione / L-cysteine ABC exporter CydDC","cydD"
"glutathione / L-cysteine ABC exporter CydDC","cydC"
"tripartite efflux pump EmrKY-TolC","tolC"
"DNA polymerase III, core enzyme","dnaE"
"DNA polymerase III, core enzyme","dnaQ"
"DNA polymerase III, core enzyme","holE"
"glycine betaine ABC transporter, non-osmoregulatory","yehY"
"glycine betaine ABC transporter, non-osmoregulatory","yehW"
"HypCD complex involved in hydrogenase maturation","hypD"
"HypCD complex involved in hydrogenase maturation","hypC"
"leucine / L-phenylalanine ABC transporter","livM"
"leucine / L-phenylalanine ABC transporter","livH"
"leucine / L-phenylalanine ABC transporter","livG"
"leucine / L-phenylalanine ABC transporter","livF"
"iron-catecholate outer membrane transport complex I","exbD"
"iron-catecholate outer membrane transport complex I","exbB"
"iron-catecholate outer membrane transport complex I","tonB"
"ferric enterobactin outer membrane transport complex","exbD"
"ferric enterobactin outer membrane transport complex","exbB"
"ferric enterobactin outer membrane transport complex","tonB"
"citrate lyase, inactive","citD"
"citrate lyase, inactive","citE"
"NADH:quinone oxidoreductase I","nuoA"
"NADH:quinone oxidoreductase I","nuoH"
"NADH:quinone oxidoreductase I","nuoJ"
"NADH:quinone oxidoreductase I","nuoK"
"NADH:quinone oxidoreductase I","nuoL"
"NADH:quinone oxidoreductase I","nuoM"
"NADH:quinone oxidoreductase I","nuoN"
"NADH:quinone oxidoreductase I","nuoI"
"NADH:quinone oxidoreductase I","nuoG"
"NADH:quinone oxidoreductase I","nuoF"
"NADH:quinone oxidoreductase I","nuoE"
"NADH:quinone oxidoreductase I","nuoC"
"NADH:quinone oxidoreductase I","nuoB"
"Tsr<SUP>gln</SUP>","cheW"
"Tsr<SUP>gln</SUP>","cheA"
"branched chain amino acid / phenylalanine ABC transporter","livF"
"branched chain amino acid / phenylalanine ABC transporter","livG"
"branched chain amino acid / phenylalanine ABC transporter","livH"
"branched chain amino acid / phenylalanine ABC transporter","livM"
"MtlR-HPr","mtlR"
"MtlR-HPr","ptsH"
"acetyl-CoA carboxylase complex","accD"
"acetyl-CoA carboxylase complex","accA"
"acetyl-CoA carboxylase complex","accC"
"acetyl-CoA carboxylase complex","accB"
"flagellar motor switch complex","fliG"
"flagellar motor switch complex","fliM"
"flagellar motor switch complex","fliN"
"aromatic carboxylic acid efflux pump","yhcQ"
"aromatic carboxylic acid efflux pump","yhcP"
"HslVU protease","hslU"
"HslVU protease","hslV"
"putative PTS enzyme II FrwCBDPtsA","frwC"
"putative PTS enzyme II FrwCBDPtsA","frwB"
"putative PTS enzyme II FrwCBDPtsA","frwD"
"putative PTS enzyme II FrwCBDPtsA","ptsA"
"Trg<SUP>gln</SUP>","cheA"
"Trg<SUP>gln</SUP>","cheW"
"chemotaxis signaling complex - dipeptide sensing","cheA"
"chemotaxis signaling complex - dipeptide sensing","cheW"
"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II","celC"
"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II","celB"
"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme II","celA"
"K<sup>+</sup> transporting P-type ATPase","kdpA"
"K<sup>+</sup> transporting P-type ATPase","kdpB"
"K<sup>+</sup> transporting P-type ATPase","kdpC"
"ABC-type tripartite efflux pump","tolC"
"ABC-type tripartite efflux pump","ybjZ"
"ABC-type tripartite efflux pump","ybjY"
"twin arginine protein translocation system","tatB"
"twin arginine protein translocation system","tatC"
"twin arginine protein translocation system","tatE"
"twin arginine protein translocation system","tatA"
"Tar<SUP>gln</SUP>","cheA"
"Tar<SUP>gln</SUP>","cheW"
"Z-ring inhibitor complex MinCD","minD"
"Z-ring inhibitor complex MinCD","minC"
"resolvasome","ruvC"
"resolvasome","ruvB"
"resolvasome","ruvA"
"ATP synthase F<sub>o</sub> complex","atpE"
"ATP synthase F<sub>o</sub> complex","atpF"
"ATP synthase F<sub>o</sub> complex","atpB"
"anaerobic glycerol-3-phosphate dehydrogenase","glpA"
"anaerobic glycerol-3-phosphate dehydrogenase","glpB"
"anaerobic glycerol-3-phosphate dehydrogenase","glpC"
"succinate:quinone oxidoreductase","sdhD"
"succinate:quinone oxidoreductase","sdhC"
"succinate:quinone oxidoreductase","sdhB"
"cellulose synthase","yhjN"
"cellulose synthase","bcsA"
"formate dehydrogenase N","fdnI"
"formate hydrogenlyase complex","SC4B5.11c"
"formate hydrogenlyase complex","hycB"
"Tap<SUP>gln</SUP>","cheA"
"Tap<SUP>gln</SUP>","cheW"
"putative ABC transporter ArtPQMI","artI"
"putative ABC transporter ArtPQMI","artM"
"putative ABC transporter ArtPQMI","artQ"
"putative ABC transporter ArtPQMI","artP"
"FtsH/HflKC protease complex","hflC"
"FtsH/HflKC protease complex","hflK"
"FtsH/HflKC protease complex","ftsH"
"bacterial condensin MukBEF","mukB"
"bacterial condensin MukBEF","mukF"
"bacterial condensin MukBEF","mukE"
"L-ascorbate specific PTS enzyme II","sgaB"
"L-ascorbate specific PTS enzyme II","sgaT"
"RNA polymerase sigma 70","rpoB"
"RNA polymerase sigma 70","rpoC"
"RNA polymerase sigma 70","pez"
"RNA polymerase sigma 70","rpoD"
"enterobactin synthase","entB"
"enterobactin synthase","entD"
"enterobactin synthase","entF"
"enterobactin synthase","entE"
"RNA polymerase sigma 28","fliA"
"RNA polymerase sigma 28","rpoB"
"RNA polymerase sigma 28","rpoC"
"RNA polymerase sigma 28","pez"
"RNA polymerase sigma 24","rpoB"
"RNA polymerase sigma 24","rpoC"
"RNA polymerase sigma 24","pez"
"RNA polymerase sigma 24","rpoE"
"DNA gyrase","gyrA"
"DNA gyrase","gyrB"
"RNA polymerase sigma 32","rpoB"
"RNA polymerase sigma 32","rpoC"
"RNA polymerase sigma 32","pez"
"RNA polymerase sigma 32","rpoH"
"acetyl-CoA carboxyltransferase","accA"
"acetyl-CoA carboxyltransferase","accD"
"RNA polymerase sigma S","rpoB"
"RNA polymerase sigma S","rpoC"
"RNA polymerase sigma S","pez"
"RNA polymerase sigma S","rpoS"
"RNA polymerase sigma 54","rpoB"
"RNA polymerase sigma 54","rpoC"
"RNA polymerase sigma 54","pez"
"RNA polymerase sigma 54","rpoN"
"cytochrome <i>bd</i>-I ubiquinol oxidase","cydB"
"cytochrome <i>bd</i>-I ubiquinol oxidase","ybgT"
"RNA polymerase sigma 19","rpoB"
"RNA polymerase sigma 19","rpoC"
"RNA polymerase sigma 19","pez"
"iron-catecholate outer membrane transport complex II","exbD"
"iron-catecholate outer membrane transport complex II","exbB"
"iron-catecholate outer membrane transport complex II","tonB"
"iron-catecholate outer membrane transport complex II","cirA"
"Zn<sup>2+</sup> ABC transporter","znuC"
"Zn<sup>2+</sup> ABC transporter","znuB"
"Zn<sup>2+</sup> ABC transporter","znuA"
"putrescine ABC exporter","sapF"
"putrescine ABC exporter","sapC"
"putrescine ABC exporter","sapB"
"putrescine ABC exporter","sapD"
"multidrug efflux pump AcrEF-TolC","tolC"
"chemotaxis signaling complex - ribose/galactose/glucose sensing","cheA"
"chemotaxis signaling complex - ribose/galactose/glucose sensing","cheW"
"energy transducing Ton complex","tonB"
"energy transducing Ton complex","exbB"
"energy transducing Ton complex","exbD"
"ferric coprogen outer membrane transport complex","fhuE"
"ferric coprogen outer membrane transport complex","exbD"
"ferric coprogen outer membrane transport complex","exbB"
"ferric coprogen outer membrane transport complex","tonB"
"L-arginine ABC transporter","artJ"
"L-arginine ABC transporter","artQ"
"L-arginine ABC transporter","artM"
"L-arginine ABC transporter","artP"
"glutamate / aspartate ABC transporter","gltI"
"glutamate / aspartate ABC transporter","gltK"
"glutamate / aspartate ABC transporter","gltJ"
"Tsr<SUP>glu</SUP>","cheW"
"Tsr<SUP>glu</SUP>","cheA"
"polysaccharide export complex","wzc"
"metalloprotease TldDE","tldD"
"spermidine preferential ABC transporter","potD"
"chemotaxis signaling complex - aspartate sensing","cheA"
"chemotaxis signaling complex - aspartate sensing","cheW"
"Ubi complex","yqiC"
"Ubi complex","yigP"
"Ubi complex","ubiH"
"Ubi complex","ubiG"
"Ubi complex","ubiE"
"<I>Eco</I>KI restriction-modification system","hsdM"
"<I>Eco</I>KI restriction-modification system","hsdR"
"<I>Eco</I>KI restriction-modification system","hsdS"
"Trg<SUP>glu</SUP>","cheA"
"Trg<SUP>glu</SUP>","cheW"
"NusB-S10 complex","rpsJ"
"NusB-S10 complex","nusB"
"trehalose-specific PTS enzyme II","crr"
"Enterobacterial Common Antigen Biosynthesis Protein Complex","wzxE"
"Enterobacterial Common Antigen Biosynthesis Protein Complex","rffT"
"Enterobacterial Common Antigen Biosynthesis Protein Complex","wzzE"
"GroEL-GroES chaperonin complex","groEL"
"GroEL-GroES chaperonin complex","groES"
"excision nuclease UvrABC","uvrB"
"excision nuclease UvrABC","uvrC"
"excision nuclease UvrABC","uvrA"
"CcmABCD release complex","ccmB2"
"chemotaxis signaling complex - serine sensing","cheW"
"chemotaxis signaling complex - serine sensing","cheA"
"FicT-FicA complex","fic"
"FicT-FicA complex","yhfG"
"HypA-HypB heterodimer","hypB"
"tryptophan synthase","trpA"
"tryptophan synthase","trpB"
"glutamate synthase","gltD"
"glutamate synthase","gltB"
"multidrug efflux pump MdtEF-TolC","tolC"
"Tar<SUP>glu</SUP>","cheA"
"Tar<SUP>glu</SUP>","cheW"
"ATP synthase / thiamin triphosphate synthase","atpB"
"ATP synthase / thiamin triphosphate synthase","atpF"
"ATP synthase / thiamin triphosphate synthase","atpE"
"ATP synthase / thiamin triphosphate synthase","atpD"
"ATP synthase / thiamin triphosphate synthase","atpG"
"ATP synthase / thiamin triphosphate synthase","atpA"
"ATP synthase / thiamin triphosphate synthase","atpH"
"ATP synthase / thiamin triphosphate synthase","atpC"
"primosome","dnaB"
"primosome","dnaT"
"primosome","priB"
"primosome","priA"
"primosome","priC"
"primosome","dnaG"
"DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor","SL1344_3483"
"DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor","SL1344_3484"
"Sec Holo-Translocon","yajC"
"Sec Holo-Translocon","secF"
"Sec Holo-Translocon","secD"
"Sec Holo-Translocon","prlA"
"Sec Holo-Translocon","secG"
"Sec Holo-Translocon","secE"
"Sec Holo-Translocon","yidC"
"NADH:quinone oxidoreductase I, peripheral arm","nuoB"
"NADH:quinone oxidoreductase I, peripheral arm","nuoC"
"NADH:quinone oxidoreductase I, peripheral arm","nuoE"
"NADH:quinone oxidoreductase I, peripheral arm","nuoF"
"NADH:quinone oxidoreductase I, peripheral arm","nuoG"
