"complex","target"
"lipoprotein release complex","lolC"
"intermembrane phospholipid transport system","KsCSTR_17880"
"intermembrane phospholipid transport system","KsCSTR_17890"
"degradosome","rne"
"degradosome","pnp"
"degradosome","eno"
"molybdate ABC transporter","KsCSTR_04430"
"copper/silver export system","OPRM"
"copper/silver export system","KsCSTR_31700"
"glycolate dehydrogenase","glcD"
"3-isopropylmalate dehydratase","leuC"
"3-isopropylmalate dehydratase","leuD"
"periplasmic protein-L-methionine sulfoxide reducing system","KSMBR1_3992"
"carbamoyl phosphate synthetase","carB"
"carbamoyl phosphate synthetase","carA"
"poly-<i>N</i>-acetyl-D-glucosamine synthase","KsCSTR_39400"
"phenylalanine&mdash;tRNA ligase","pheS"
"phenylalanine&mdash;tRNA ligase","pheT"
"sulfate/thiosulfate ABC transporter","KsCSTR_04440"
"phosphate ABC transporter","pstB"
"phosphate ABC transporter","KsCSTR_18920"
"phosphate ABC transporter","PstS"
"DNA-binding transcriptional  repressor CRP-Sxy","crp"
"flagellum","FliF"
"flagellum","flgI"
"flagellum","flgG"
"flagellum","flgC"
"flagellum","flgB"
"flagellum","motA"
"flagellum","flgH"
"flagellum","FliG"
"flagellum","flgE_2"
"flagellum","flgK"
"flagellum","flgL"
"flagellum","fliD"
"50S ribosomal protein complex L8","rplJ"
"50S ribosomal protein complex L8","rplL"
"succinate:quinone oxidoreductase subcomplex","sdhC"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","KSMBR1_0117"
"N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB-TsaD dimer subunit","gcp"
"Tap<SUP>glu-Me</SUP>","cheA"
"flagellar basal body","FliG"
"flagellar basal body","flgH"
"flagellar basal body","motA"
"flagellar basal body","flgB"
"flagellar basal body","flgC"
"flagellar basal body","flgG"
"flagellar basal body","flgI"
"flagellar basal body","FliF"
"exodeoxyribonuclease V","recD"
"exodeoxyribonuclease V","KSMBR1_0401"
"ClpXP","clpP"
"ClpXP","ClpX"
"lipopolysaccharide transport system","KsCSTR_03300"
"lipopolysaccharide transport system","abca"
"hydrogenase 4","hyfE"
"putative transport complex, ABC superfamily","malG"
"putative transport complex, ABC superfamily","malF"
"glycine betaine ABC transporter, non-osmoregulatory","opuBA"
"NADH:quinone oxidoreductase I","nuoA"
"NADH:quinone oxidoreductase I","nuoH"
"NADH:quinone oxidoreductase I","nuoJ"
"NADH:quinone oxidoreductase I","nuoK"
"NADH:quinone oxidoreductase I","nuoL"
"NADH:quinone oxidoreductase I","nuoM"
"NADH:quinone oxidoreductase I","NuoN"
"NADH:quinone oxidoreductase I","nuoG"
"NADH:quinone oxidoreductase I","nuoE"
"Tsr<SUP>gln</SUP>","cheA"
"acetyl-CoA carboxylase complex","accD"
"acetyl-CoA carboxylase complex","accA"
"acetyl-CoA carboxylase complex","accC"
"acetyl-CoA carboxylase complex","accB"
"flagellar motor switch complex","FliG"
"HslVU protease","hslU"
"HslVU protease","hslV"
"Trg<SUP>gln</SUP>","cheA"
"chemotaxis signaling complex - dipeptide sensing","cheA"
"ABC-type tripartite efflux pump","KSMBR1_2738"
"ABC-type tripartite efflux pump","KsCSTR_03990"
"ABC-type tripartite efflux pump","MexC"
"twin arginine protein translocation system","tatC"
"Tar<SUP>gln</SUP>","cheA"
"resolvasome","ruvC"
"resolvasome","ruvB"
"resolvasome","ruvA"
"succinate:quinone oxidoreductase","sdhC"
"cellulose synthase","bcsB"
"cellulose synthase","bcsA"
"Tap<SUP>gln</SUP>","cheA"
"FtsH/HflKC protease complex","KSMBR1_2413"
"FtsH/HflKC protease complex","hflK"
"RNA polymerase sigma 70","rpoB"
"RNA polymerase sigma 70","rpoC"
"RNA polymerase sigma 70","rpoA"
