"complex","target"
"MUS81-CDS1 complex","A0A0D3E8D6"
"Arp2/3 protein complex","A0A0D3E5C6"
"Modulator","A0A0D3EC90"
"PA700 complex","A0A0D3EC90"
"PA700 complex","A0A0D3E1K3"
"PA700 complex","A0A0D3CJZ8"
"DNMT3B complex","A0A0D3DBF6"
"HDAC4-ERK1 complex","A0A0D3BWT5"
"NUMAC complex (nucleosomal methylation activator complex)","A0A0D3CJ92"
"Nup 107-160 subcomplex","A0A0D3A2D8"
"Ku antigen-NARG1 complex","A0A0D3CAW7"
"Ku antigen-NARG1 complex","A0A0D3DJV7"
"RNA polymerase II holoenzyme complex","A0A0D2ZXG4"
"RNA polymerase II holoenzyme complex","A0A0D3DUD8"
"RNA polymerase II holoenzyme complex","A0A0D3A7F5"
"RNA polymerase II core complex","A0A0D2ZXG4"
"RNA polymerase II core complex","A0A0D3DUD8"
"TFIIH transcription factor complex","A0A0D3BM46"
"TFIIH transcription factor complex","A0A0D3A7F5"
"Prefoldin complex","A0A0D3DDC7"
"SNAPc (small nuclear RNA-activating protein) complex","A0A0D3BIQ4"
"GPI-GnT activity complex","A0A0D3AHH1"
"GPI-GnT activity complex","A0A0D3BRZ3"
"Rnase/Mrp complex","A0A0D3BPI4"
"Rnase/Mrp complex","A0A0D3CHI2"
"Rnase/Mrp complex","A0A0D3BYS3"
"CCT-Prefoldin complex","A0A0D3DDC7"
"PBAF complex (Polybromo- and BAF containing complex)","A0A0D3CJ92"
"Condensin I-PARP-1-XRCC1 complex","A0A0D3ARX2"
"Condensin I-PARP-1-XRCC1 complex","A0A0D3BZH1"
"Condensin I-PARP-1-XRCC1 complex","A0A0D3DBF6"
"Condensin II","A0A0D3CY52"
"Condensin II","A0A0D3DBF6"
"COG complex","A0A0D3CF83"
"MRN complex (MRE11-RAD50-NBN complex)","A0A0D3CN78"
"MRN complex (MRE11-RAD50-NBN complex)","A0A0D3B4H3"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A0D3AIN0"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A0D3CN48"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A0D3BXZ7"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A0D3EGN3"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A0D2ZT81"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A0D3BZF8"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A0D3AI81"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A0D3E3M6"
"BAF complex","A0A0D3CJ92"
"PA700-20S-PA28 complex","A0A0D3EC90"
"PA700-20S-PA28 complex","A0A0D3E1K3"
"PA700-20S-PA28 complex","A0A0D3CJZ8"
"DNA ligase IV-XRCC1 complex","A0A0D3ARX2"
"DNA ligase IV-XRCC1 complex","A0A0D3EC18"
"SMCC complex","A0A0D3CHK4"
"SMCC complex","A0A0D3AK19"
"NAT complex","A0A0D3CHK4"
"Mediator complex","A0A0D3CHK4"
"Mediator complex","A0A0D3AK19"
"ARC complex","A0A0D3CHK4"
"SWI-SNF chromatin remodeling-related-BRCA1 complex","A0A0D3CJ92"
"BRAFT complex","A0A0D3DFU9"
"BRAFT complex","A0A0D3B8C0"
"BRAFT complex","A0A0D3BEN3"
"BLM complex III","A0A0D3B8C0"
"BCDX2 complex","A0A0D3E258"
"RAD51C-XRCC3 complex","A0A0D3B302"
"TBPIP/HOP2-MND1 complex","A0A0D3DKF9"
"RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex","A0A0D3B302"
"RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex","A0A0D3E258"
"R/M complex (RAD50-MRE11 complex)","A0A0D3B4H3"
"ATR-ATRIP complex","A0A0D3C0X0"
"RAD17-RFC complex","A0A0D3E2R6"
"9-1-1-RAD17-RFC complex","A0A0D3E2R6"
"CRSP complex","A0A0D3CHK4"
"PCNA-MLH1-PMS1 complex","A0A0D3B8C0"
"PCNA-MSH2-MSH6 complex","A0A0D3BBZ6"
"ARC-L complex","A0A0D3CHK4"
"PCNA-DNA polymerase delta complex","A0A0D3BF94"
"PCNA-DNA polymerase delta complex","A0A0D3D1M2"
"PCNA-DNA polymerase delta complex","A0A0D3C8V7"
"PC2 complex","A0A0D3CHK4"
"PC2 complex","A0A0D3AK19"
"INO80 chromatin remodeling complex","A0A0D3BHE6"
"INO80 chromatin remodeling complex","A0A0D3E7J4"
"INO80 chromatin remodeling complex","A0A0D3ATS6"
"INO80 chromatin remodeling complex","A0A0D3CKV8"
"SRCAP-associated chromatin remodeling complex","A0A0D3BRE5"
"Ribosome, cytoplasmic","A0A0D3CSI1"
"Ribosome, cytoplasmic","A0A0D3BRM6"
"60S ribosomal subunit, cytoplasmic","A0A0D3BRM6"
"RC complex","A0A0D3BF94"
"RC complex","A0A0D3ANQ3"
"28S ribosomal subunit, mitochondrial","A0A0D3CJ03"
"28S ribosomal subunit, mitochondrial","A0A0D3AS28"
"28S ribosomal subunit, mitochondrial","A0A0D3CIR5"
"55S ribosome, mitochondrial","A0A0D3A018"
"55S ribosome, mitochondrial","A0A0D3CJ03"
"55S ribosome, mitochondrial","A0A0D3AS28"
"55S ribosome, mitochondrial","A0A0D3CIR5"
"55S ribosome, mitochondrial","A0A0D3B980"
"55S ribosome, mitochondrial","A0A0D3DCF0"
"55S ribosome, mitochondrial","A0A0D3CAV0"
"55S ribosome, mitochondrial","A0A0D3BPF2"
"55S ribosome, mitochondrial","A0A0D3DYI6"
"55S ribosome, mitochondrial","A0A0D3D036"
"DNA-PK-Ku complex","A0A0D3CAW7"
"DNA-PK-Ku complex","A0A0D3DJV7"
"39S ribosomal subunit, mitochondrial","A0A0D3A018"
"39S ribosomal subunit, mitochondrial","A0A0D3B980"
"39S ribosomal subunit, mitochondrial","A0A0D3DCF0"
"39S ribosomal subunit, mitochondrial","A0A0D3CAV0"
"39S ribosomal subunit, mitochondrial","A0A0D3BPF2"
"39S ribosomal subunit, mitochondrial","A0A0D3DYI6"
"39S ribosomal subunit, mitochondrial","A0A0D3D036"
"Ku antigen complex","A0A0D3CAW7"
"Ku antigen complex","A0A0D3DJV7"
"DNA ligase IV-XRCC4-AHNK complex","A0A0D3EC18"
"40S ribosomal subunit, cytoplasmic","A0A0D3CSI1"
"DNA ligase IV-XRCC4 complex","A0A0D3EC18"
"DNA ligase IV-XRCC4-PNK complex","A0A0D3EC18"
"Spliceosome","A0A0D3CI97"
"Spliceosome","A0A0D3E1E5"
"Spliceosome","A0A0D3C696"
"Spliceosome","A0A0D3C3B8"
"Spliceosome","A0A0D3CBY2"
"Spliceosome","A0A0D3D3M9"
"Spliceosome","A0A0D3D8E0"
"Spliceosome","A0A0D3CCK2"
"Spliceosome","A0A0D3BEK4"
"Spliceosome","A0A0D3E397"
"Spliceosome","A0A0D3BSU4"
"Spliceosome","A0A0D3CWU3"
"Spliceosome","A0A0D3CN55"
"Spliceosome","A0A0D3AKU7"
"Spliceosome","A0A0D3D2N7"
"Spliceosome","A0A0D3BTX5"
"Spliceosome","A0A0D3AFZ4"
"Spliceosome","A0A0D3AIC5"
"Spliceosome","A0A0D3EBL8"
"Spliceosome","A0A0D3DZ63"
"Spliceosome","A0A0D3DVP3"
"Spliceosome","A0A0D3B0S2"
"Spliceosome","A0A0D3E145"
"DNA ligase IV-condensin complex","A0A0D3EC18"
"DNA ligase IV-condensin complex","A0A0D3DBF6"
"DNA ligase IV-XRCC4-XLF complex","A0A0D3EC18"
"DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex","A0A0D3ARX2"
"DNA ligase III-XRCC1 complex","A0A0D3ARX2"
"ERCC1-ERCC4-MSH2 complex","A0A0D3BBZ6"
"MSH2-MSH6-PMS2-MLH1 complex","A0A0D3B8C0"
"MSH2-MSH6-PMS2-MLH1 complex","A0A0D3BBZ6"
"MSH2-MSH6-PMS1-MLH1 complex","A0A0D3B8C0"
"MSH2-MSH6-PMS1-MLH1 complex","A0A0D3BBZ6"
"Vacuolar ATPase","A0A0D2ZT37"
"MSH2-MSH6 complex","A0A0D3BBZ6"
"MSH2-MSH3 complex","A0A0D3BBZ6"
"PCNA-MutS-alpha-MutL-alpha-DNA complex","A0A0D3B8C0"
"PCNA-MutS-alpha-MutL-alpha-DNA complex","A0A0D3BBZ6"
"MutL-alpha complex","A0A0D3B8C0"
"MutL-beta complex","A0A0D3B8C0"
"Ubiquitin E3 ligase (UBADC1, RNF123)","A0A0D3DW39"
"MCM complex","A0A0D3BDZ0"
"ORC complex (origin recognition complex)","A0A0D3E8D0"
"ORC complex (origin recognition complex)","A0A0D3BR67"
"ORC complex (origin recognition complex)","A0A0D3EEZ4"
"ORC complex (origin recognition complex)","A0A0D3DR85"
"Respiratory chain complex I, mitochondrial","A0A0D3BXZ7"
"Respiratory chain complex I, mitochondrial","A0A0D3EGN3"
"Respiratory chain complex I, mitochondrial","A0A0D2ZT81"
"Respiratory chain complex I, mitochondrial","A0A0D3BZF8"
"Respiratory chain complex I, mitochondrial","A0A0D3CN48"
"Respiratory chain complex I, mitochondrial","A0A0D3AI81"
"Respiratory chain complex I, mitochondrial","A0A0D3E3M6"
"Respiratory chain complex I, mitochondrial","A0A0D3AIN0"
"Respiratory chain complex I (subcomplex I alpha), mitochondrial","A0A0D3BZF8"
"Respiratory chain complex I (subcomplex I alpha), mitochondrial","A0A0D3CN48"
"Respiratory chain complex I (subcomplex I alpha), mitochondrial","A0A0D3AI81"
"Respiratory chain complex I (subcomplex I alpha), mitochondrial","A0A0D3E3M6"
"Respiratory chain complex I (subcomplex I alpha), mitochondrial","A0A0D3AIN0"
"Respiratory chain complex I (subcomplex I lambda), mitochondrial","A0A0D3BZF8"
"Respiratory chain complex I (subcomplex I lambda), mitochondrial","A0A0D3CN48"
"Respiratory chain complex I (subcomplex I lambda), mitochondrial","A0A0D3AI81"
"Respiratory chain complex I (subcomplex I lambda), mitochondrial","A0A0D3AIN0"
"Respiratory chain complex I (subcomplex I beta), mitochondrial","A0A0D2ZT81"
"Cytochrome bc1-complex (EC 1.10.2.2), mitochondrial","A0A0D3BYF6"
"Cytochrome bc1-complex (EC 1.10.2.2), mitochondrial","A0A0D3DL14"
"Farnesyltransferase","A0A0D3A7W9"
"EXO1-MLH1-PMS2 complex","A0A0D3B8C0"
"EXO1-MLH1-PCNA complex","A0A0D3B8C0"
"Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)","A0A0D3E5C0"
"Phosphatidylinositol 3-kinase complex (PIK3C3, PIK3R4)","A0A0D3A3H1"
"18S U11/U12 snRNP","A0A0D3E397"
"18S U11/U12 snRNP","A0A0D3C8P6"
"18S U11/U12 snRNP","A0A0D3D5I3"
"18S U11/U12 snRNP","A0A0D3B0S2"
"BASC complex (BRCA1-associated genome surveillance complex)","A0A0D3CN78"
"BASC complex (BRCA1-associated genome surveillance complex)","A0A0D3B8C0"
"BASC complex (BRCA1-associated genome surveillance complex)","A0A0D3BBZ6"
"BASC complex (BRCA1-associated genome surveillance complex)","A0A0D3BGD4"
"BASC complex (BRCA1-associated genome surveillance complex)","A0A0D3B4H3"
"GCN5-TRRAP histone acetyltransferase complex","A0A0D3BBZ6"
"GCN5-TRRAP histone acetyltransferase complex","A0A0D3A2S9"
"TFTC complex (TATA-binding protein-free TAF-II-containing complex)","A0A0D3A2S9"
"TFTC complex (TATA-binding protein-free TAF-II-containing complex)","A0A0D3D0H9"
"TFIID-beta complex","A0A0D3A2S9"
"TFIID-beta complex","A0A0D3D0H9"
"PCAF complex","A0A0D3A2S9"
"STAGA complex","A0A0D3A2S9"
"TFIID complex","A0A0D3A2S9"
"TFIID complex, B-cell specific","A0A0D3A2S9"
"DA complex","A0A0D3A2S9"
"DA complex","A0A0D3D0H9"
"DAB complex","A0A0D3A2S9"
"DAB complex","A0A0D3D0H9"
"NuA4/Tip60-HAT complex","A0A0D3BYP2"
"NuA4/Tip60-HAT complex","A0A0D3BRE5"
"Cytochrome c oxidase, mitochondrial","A0A0D2ZVU7"
"TRAP complex","A0A0D3CHK4"
"TRAP complex","A0A0D3AK19"
"DRIP complex","A0A0D3CHK4"
"LSm1-7 complex","A0A0D3E0V8"
"LSm1-7 complex","A0A0D3E145"
"LSm2-8 complex","A0A0D3E0V8"
"LSm2-8 complex","A0A0D3E145"
"p300-CBP-p270-SWI/SNF complex","A0A0D3CJ92"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3BYF6"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3DL14"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D2ZVU7"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3BXZ7"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3EGN3"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D2ZT81"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3BZF8"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3CN48"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3AI81"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3E3M6"
"Respiratory chain supercomplex (complex I, III, IV), mitochondrial, heart","A0A0D3AIN0"
"CTF18-CTF8-DCC1-RFC3 complex","A0A0D3BPV9"
"TIM (TIM9, TIM10) complex, mitochondrial","A0A0D3BTT9"
"MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)","A0A0D3CN78"
"MRN-TRRAP complex (MRE11A-RAD50-NBN-TRRAP complex)","A0A0D3B4H3"
"GINS complex","A0A0D3DBX2"
"SNARE complex (RINT1, ZW10, p31, Stx18)","A0A0D3BHW7"
"SNARE complex (RINT1, ZW10, p31)","A0A0D3BHW7"
"BRG1-SIN3A complex","A0A0D3CJ92"
"BRM-SIN3A complex","A0A0D3CJ92"
"CSA complex","A0A0D3CE40"
"CSA-POLIIa complex","A0A0D3CE40"
"SIN3-ING1b complex II","A0A0D3CJ92"
"Exon junction complex (EIF4A3, MLN51, UPF3B, MAGOH, Y14, PYM)","A0A0D3DP39"
"TREX complex","A0A0D3CN55"
"TREX complex","A0A0D3AKU7"
"TREX complex","A0A0D3D2N7"
"TREX complex","A0A0D3AIC5"
"TREX complex","A0A0D3EBL8"
"THO complex","A0A0D3CN55"
"THO complex","A0A0D3D2N7"
"THO complex","A0A0D3AIC5"
"Exon junction complex","A0A0D3AKU7"
"Exon junction complex","A0A0D3BTX5"
"LARC complex (LCR-associated remodeling complex)","A0A0D3CJ92"
"Exosome","A0A0D3DUM4"
"Exosome","A0A0D3BHH2"
"Exosome","A0A0D2ZS62"
"Exosome","A0A0D3CYA8"
"NuA4/Tip60-HAT complex A","A0A0D3BYP2"
"DMAP1-associated complex","A0A0D3BRE5"
"BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I","A0A0D3CJ92"
"BRM-SIN3A-HDAC complex","A0A0D3CJ92"
"FCP1-associated protein complex","A0A0D2ZXG4"
"FCP1-associated protein complex","A0A0D3EGC4"
"RICH1/AMOT polarity complex, Flag-Rich1 precipitated","A0A0D3CZX9"
"Mediator complex 1","A0A0D3CHK4"
"Mediator complex 2","A0A0D3CHK4"
"ARC92-Mediator complex","A0A0D3CHK4"
"CRSP-Mediator 2 complex","A0A0D3CHK4"
"Toposome","A0A0D3DC48"
"CEN complex","A0A0D3DC48"
"FACT-NEK9 complex","A0A0D3DC48"
"FACT complex","A0A0D3DC48"
"FACT complex, UV-activated","A0A0D3DC48"
"Class C Vps complex (VPS11, VPS18, STX7)","A0A0D3D4G4"
"Class C Vps complex (VPS11, VPS18, VPS16)","A0A0D3B5I6"
"Class C Vps complex (VPS11, VPS18, VPS16)","A0A0D3D4G4"
"Class C Vps complex (hVPS11, hVPS18, rVPS33a )","A0A0D3D4G4"
"Class C Vps complex (hVPS11, hVPS18, hVPS16, rVPS33a )","A0A0D3B5I6"
"Class C Vps complex (hVPS11, hVPS18, hVPS16, rVPS33a )","A0A0D3D4G4"
"BRCA1-RAD50-MRE11-NBS1 complex","A0A0D3CN78"
"BRCA1-RAD50-MRE11-NBS1 complex","A0A0D3B4H3"
"GAA1-GPI8-PIGT-PIG-PIGS complex","A0A0D3EE44"
"GAA1-GPI8-PIGT-PIG-PIGS complex","A0A0D3C8K5"
"GAA1-GPI8-PIGT-PIG-PIGS complex","A0A0D3CM48"
"GAA1-GPI8-PIGT-PIG-PIGS complex","A0A0D3CM45"
"KIN17-PCNA-RPA70 complex","A0A0D3DFU9"
"RC complex (Replication competent complex)","A0A0D3ANQ3"
"RC complex during S-phase of cell cycle","A0A0D3DFU9"
"RC complex during S-phase of cell cycle","A0A0D3BF94"
"RC complex during G2/M-phase of cell cycle","A0A0D3DFU9"
"RC complex during G2/M-phase of cell cycle","A0A0D3BF94"
"CAK complex (Cdk-activating kinase complex)","A0A0D3BM46"
"TFIIH transcription factor complex","A0A0D3C9M7"
"CAK-ERCC2 complex","A0A0D3BM46"
"TFIIH transcription factor core complex","A0A0D3A7F5"
"Snurportin-CRM1-RanGTP complex","A0A0D3DFY3"
"12S U11 snRNP","A0A0D3D429"
"DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1","A0A0D3BZJ3"
"DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1","A0A0D3ARX2"
"DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1","A0A0D3BZJ3"
"DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1","A0A0D3ARX2"
"PCNA-KU antigen complex","A0A0D3CAW7"
"PCNA-KU antigen complex","A0A0D3DJV7"
"Frataxin complex","A0A0D3CJT1"
"DNA polymerase alpha-primase complex","A0A0D3ANL8"
"DNA polymerase alpha-primase complex","A0A0D3ANQ3"
"DNA synthesome complex (17 subunits)","A0A0D3DFU9"
"DNA synthesome complex (17 subunits)","A0A0D3BF94"
"DNA synthesome complex (17 subunits)","A0A0D3ANL8"
"DNA synthesome complex (17 subunits)","A0A0D3B7D8"
"DNA synthesome complex (17 subunits)","A0A0D3ANQ3"
"DNA synthesome complex (17 subunits)","A0A0D3D1M2"
"DNA synthesome complex (17 subunits)","A0A0D3C8V7"
"ATR-HDAC2 complex","A0A0D3C0X0"
"ATR-HDAC2-CHD4 complex","A0A0D3C0X0"
"CF IIAm complex (Cleavage factor IIAm complex)","A0A0D3C696"
"CF IIAm complex (Cleavage factor IIAm complex)","A0A0D3A7F5"
"Cleavage and polyadenylation factor (CPSF)","A0A0D3AMX0"
"Cleavage and polyadenylation factor (CPSF)","A0A0D3DD89"
"Cleavage stimulation factor","A0A0D3DQ30"
