"complex","target"
"Multisubunit ACTR coactivator complex","XELAEV_18043422mg"
"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","XELAEV_18037057mg"
"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","hps4"
"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","hps6"
"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","XELAEV_18027756mg"
"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","XELAEV_18008250mg"
"MUS81-CDS1 complex","cds1"
"MUS81-CDS1 complex","mus81"
"NCOR complex","XELAEV_18021566mg"
"NCOR complex","XELAEV_18019674mg"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","snapin"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","XELAEV_18039091mg"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","XELAEV_18031686mg"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","XELAEV_18031742mg"
"Arp2/3 protein complex","actr2"
"Modulator","XELAEV_18041232mg"
"Modulator","psmd9"
"PA700 complex","psmd11"
"PA700 complex","psmd9"
"PA700 complex","psmd14"
"PA700 complex","psmc2"
"PA700 complex","XELAEV_180380571mg"
"PA700 complex","psmd7"
"PA700 complex","psmc5"
"PA700 complex","XELAEV_18041232mg"
"PA700 complex","psmd5"
"PA700 complex","XELAEV_18029570mg"
"PA700 complex","XELAEV_18024326mg"
"AP1 adaptor complex","XELAEV_18011622mg"
"DNMT3B complex","smc2"
"DNMT3B complex","XELAEV_18027647mg"
"RAB5-RABAPTIN5\u2013RABEX5 complex","rabep1"
"SIN3 complex","XELAEV_18012612mg"
"SMRT complex","XELAEV_18021566mg"
"SMRT complex","XELAEV_18019674mg"
"AP3 adaptor complex","ap3d1"
"Interferon-stimulated gene factor 3 transcription complex ISGF3","stat2"
"Mi2/NuRD complex","XELAEV_18012612mg"
"MeCP1 complex","XELAEV_18012612mg"
"TRAP complex","med24"
"TRAP complex","med17"
"TRAP complex","med16"
"AP4 adaptor complex","XELAEV_18019200mg"
"AP4 adaptor complex","ap4s1"
"AP4 adaptor complex","ap4b1"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","skp1"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","XELAEV_18008360mg"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","skp1"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","XELAEV_18007879mg"
"NUMAC complex (nucleosomal methylation activator complex)","actb"
"NUMAC complex (nucleosomal methylation activator complex)","XELAEV_18006840mg"
"NUMAC complex (nucleosomal methylation activator complex)","scyl1"
"Nup 107-160 subcomplex","nup107"
"Nup 107-160 subcomplex","XELAEV_18021930mg"
"Nup 107-160 subcomplex","XELAEV_18029122mg"
"Nup 107-160 subcomplex","nup37"
"Nup 107-160 subcomplex","XELAEV_18044052mg"
"FA complex (Fanconi anemia complex), cytoplasmic","fancg"
"FA complex (Fanconi anemia complex), cytoplasmic","fancc"
"FA complex (Fanconi anemia complex), cytoplasmic","fancf"
