"complex","target"
"Modulator","SELMODRAFT_180681"
"PA700 complex","SELMODRAFT_5318"
"PA700 complex","SELMODRAFT_180681"
"PA700 complex","SELMODRAFT_267030"
"DNMT3B complex","SELMODRAFT_137981"
"Anaphase-promoting complex","SELMODRAFT_272183"
"Anaphase-promoting complex","SELMODRAFT_96868"
"RNA polymerase II holoenzyme complex","SELMODRAFT_115080"
"RNA polymerase II holoenzyme complex","SELMODRAFT_181697"
"RNA polymerase II holoenzyme complex","SELMODRAFT_127452"
"RNA polymerase II holoenzyme complex","SELMODRAFT_438480"
"RNA polymerase II holoenzyme complex","SELMODRAFT_121159"
"RNA polymerase II core complex","SELMODRAFT_115080"
"RNA polymerase II core complex","SELMODRAFT_181697"
"RNA polymerase II core complex","SELMODRAFT_127452"
"TFIIH transcription factor complex","SELMODRAFT_438480"
"TFIIH transcription factor complex","SELMODRAFT_121159"
"Prefoldin complex","SELMODRAFT_236211"
"Prefoldin complex","SELMODRAFT_129971"
"CCT complex (chaperonin containing TCP1 complex)","SELMODRAFT_168086"
"NDC80 kinetochore complex","SELMODRAFT_429498"
"NDC80 kinetochore complex","SELMODRAFT_159696"
"CD147-gamma-secretase complex","SELMODRAFT_117951"
"CCT-Prefoldin complex","SELMODRAFT_168086"
"CCT-Prefoldin complex","SELMODRAFT_236211"
"CCT-Prefoldin complex","SELMODRAFT_129971"
"CCT complex (chaperonin containing TCP1 complex), testis specific","SELMODRAFT_168086"
"Condensin I-PARP-1-XRCC1 complex","SELMODRAFT_137981"
"Condensin I-PARP-1-XRCC1 complex","SELMODRAFT_100128"
"Condensin II","SELMODRAFT_137981"
"OGT-TRAK1-TRAK2 complex","SELMODRAFT_412712"
"Respiratory chain complex I (holoenzyme), mitochondrial","SELMODRAFT_422906"
"Respiratory chain complex I (holoenzyme), mitochondrial","SELMODRAFT_89750"
"Respiratory chain complex I (holoenzyme), mitochondrial","SELMODRAFT_156186"
"Respiratory chain complex I (holoenzyme), mitochondrial","SELMODRAFT_59776"
"Respiratory chain complex I (holoenzyme), mitochondrial","SELMODRAFT_39227"
"Respiratory chain complex I (holoenzyme), mitochondrial","ndhC"
"Respiratory chain complex I (holoenzyme), mitochondrial","SELMODRAFT_124541"
"Respiratory chain complex I (holoenzyme), mitochondrial","SELMODRAFT_49683"
"26S proteasome","SELMODRAFT_180681"
"26S proteasome","SELMODRAFT_158876"
"26S proteasome","SELMODRAFT_177615"
"26S proteasome","SELMODRAFT_270930"
"26S proteasome","SELMODRAFT_178123"
"26S proteasome","SELMODRAFT_266913"
"26S proteasome","SELMODRAFT_165201"
"26S proteasome","SELMODRAFT_272088"
"26S proteasome","SELMODRAFT_267030"
"Wave-2 complex","BRK1-1"
"Mitotic checkpoint complex (MCC)","SELMODRAFT_146851"
"Mitotic checkpoint complex (MCC)","SELMODRAFT_121776"
"20S proteasome","SELMODRAFT_158876"
"20S proteasome","SELMODRAFT_177615"
"20S proteasome","SELMODRAFT_270930"
"20S proteasome","SELMODRAFT_178123"
"20S proteasome","SELMODRAFT_266913"
"20S proteasome","SELMODRAFT_165201"
"20S proteasome","SELMODRAFT_272088"
"PA28-20S proteasome","SELMODRAFT_158876"
"PA28-20S proteasome","SELMODRAFT_177615"
"PA28-20S proteasome","SELMODRAFT_270930"
"PA28-20S proteasome","SELMODRAFT_178123"
"PA28-20S proteasome","SELMODRAFT_266913"
"PA28-20S proteasome","SELMODRAFT_165201"
"PA28-20S proteasome","SELMODRAFT_272088"
"PA700-20S-PA28 complex","SELMODRAFT_5318"
"PA700-20S-PA28 complex","SELMODRAFT_180681"
"PA700-20S-PA28 complex","SELMODRAFT_158876"
"PA700-20S-PA28 complex","SELMODRAFT_177615"
"PA700-20S-PA28 complex","SELMODRAFT_270930"
"PA700-20S-PA28 complex","SELMODRAFT_178123"
"PA700-20S-PA28 complex","SELMODRAFT_266913"
"PA700-20S-PA28 complex","SELMODRAFT_165201"
"PA700-20S-PA28 complex","SELMODRAFT_272088"
"PA700-20S-PA28 complex","SELMODRAFT_267030"
"PA28gamma-20S proteasome","SELMODRAFT_158876"
"PA28gamma-20S proteasome","SELMODRAFT_177615"
"PA28gamma-20S proteasome","SELMODRAFT_270930"
"PA28gamma-20S proteasome","SELMODRAFT_178123"
"PA28gamma-20S proteasome","SELMODRAFT_266913"
"PA28gamma-20S proteasome","SELMODRAFT_165201"
"PA28gamma-20S proteasome","SELMODRAFT_272088"
"HUIC complex","SELMODRAFT_414577"
"SMCC complex","MED6"
"SMCC complex","SELMODRAFT_173060"
"SMCC complex","SELMODRAFT_111729"
"SMCC complex","SELMODRAFT_7721"
"NAT complex","MED6"
"NAT complex","SELMODRAFT_173060"
"NAT complex","SELMODRAFT_111729"
"NAT complex","MED10"
"Mediator complex","MED6"
"Mediator complex","SELMODRAFT_173060"
"Mediator complex","SELMODRAFT_111729"
"Mediator complex","MED10"
"Mediator complex","SELMODRAFT_7721"
"ARC complex","MED6"
"BRAFT complex","SELMODRAFT_4831"
"RAD17-RFC complex","SELMODRAFT_427013"
"RAD17-RFC complex","SELMODRAFT_123078"
"RAD17-RFC complex","SELMODRAFT_90486"
"RAD17-RFC complex","SELMODRAFT_235493"
"9-1-1-RAD17-RFC complex","SELMODRAFT_427013"
"9-1-1-RAD17-RFC complex","SELMODRAFT_123078"
"9-1-1-RAD17-RFC complex","SELMODRAFT_90486"
"9-1-1-RAD17-RFC complex","SELMODRAFT_235493"
"RFC complex","SELMODRAFT_123078"
"RFC complex","SELMODRAFT_90486"
"RFC complex","SELMODRAFT_235493"
"RFC core complex","SELMODRAFT_123078"
"RFC core complex","SELMODRAFT_90486"
"RFC core complex","SELMODRAFT_235493"
"CRSP complex","MED6"
"CRSP complex","SELMODRAFT_111729"
"PCNA-MSH2-MSH6 complex","SELMODRAFT_268576"
"ARC-L complex","MED6"
"ARC-L complex","SELMODRAFT_173060"
"ARC-L complex","SELMODRAFT_111729"
"ARC complex","SELMODRAFT_173060"
"ARC complex","SELMODRAFT_111729"
"PCNA-DNA polymerase delta complex","SELMODRAFT_420136"
"PC2 complex","MED6"
"PC2 complex","SELMODRAFT_111729"
"PC2 complex","MED10"
"PC2 complex","SELMODRAFT_7721"
"SMCC complex","MED10"
"INO80 chromatin remodeling complex","SELMODRAFT_132127"
"INO80 chromatin remodeling complex","SELMODRAFT_420081"
"INO80 chromatin remodeling complex","SELMODRAFT_231785"
"SRCAP-associated chromatin remodeling complex","SELMODRAFT_231785"
"Ribosome, cytoplasmic","SELMODRAFT_228129"
"Ribosome, cytoplasmic","SELMODRAFT_36118"
"Ribosome, cytoplasmic","SELMODRAFT_158459"
"Ribosome, cytoplasmic","SELMODRAFT_153225"
"Ribosome, cytoplasmic","SELMODRAFT_170832"
"Ribosome, cytoplasmic","SELMODRAFT_164298"
"Ribosome, cytoplasmic","SELMODRAFT_228166"
"Ribosome, cytoplasmic","SELMODRAFT_113433"
"Ribosome, cytoplasmic","SELMODRAFT_171836"
"Ribosome, cytoplasmic","SELMODRAFT_160008"
"Ribosome, cytoplasmic","SELMODRAFT_166700"
"Ribosome, cytoplasmic","SELMODRAFT_134686"
"Ribosome, cytoplasmic","SELMODRAFT_148446"
"Ribosome, cytoplasmic","SELMODRAFT_432268"
"Ribosome, cytoplasmic","SELMODRAFT_183051"
"Ribosome, cytoplasmic","SELMODRAFT_145246"
"Ribosome, cytoplasmic","SELMODRAFT_152664"
"Ribosome, cytoplasmic","SELMODRAFT_171673"
"Ribosome, cytoplasmic","SELMODRAFT_268639"
"Ribosome, cytoplasmic","SELMODRAFT_271663"
"Ribosome, cytoplasmic","SELMODRAFT_172795"
"Ribosome, cytoplasmic","SELMODRAFT_172403"
"Ribosome, cytoplasmic","SELMODRAFT_172404"
"Ribosome, cytoplasmic","SELMODRAFT_170205"
"Ribosome, cytoplasmic","SELMODRAFT_138327"
"Ribosome, cytoplasmic","SELMODRAFT_230302"
"Ribosome, cytoplasmic","SELMODRAFT_271568"
"Ribosome, cytoplasmic","SELMODRAFT_154469"
"Ribosome, cytoplasmic","SELMODRAFT_122864"
"Ribosome, cytoplasmic","SELMODRAFT_270247"
"Ribosome, cytoplasmic","SELMODRAFT_271040"
"Ribosome, cytoplasmic","SELMODRAFT_150540"
"Ribosome, cytoplasmic","SELMODRAFT_227198"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_158459"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_170832"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_164298"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_228166"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_113433"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_171836"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_166700"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_134686"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_271663"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_138327"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_230302"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_271568"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_154469"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_122864"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_270247"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_150540"
"60S ribosomal subunit, cytoplasmic","SELMODRAFT_227198"
"28S ribosomal subunit, mitochondrial","SELMODRAFT_135507"
"28S ribosomal subunit, mitochondrial","SELMODRAFT_402283"
"28S ribosomal subunit, mitochondrial","SELMODRAFT_404176"
"28S ribosomal subunit, mitochondrial","rps11"
"28S ribosomal subunit, mitochondrial","SELMODRAFT_137779"
"55S ribosome, mitochondrial","SELMODRAFT_135507"
"55S ribosome, mitochondrial","SELMODRAFT_114005"
"55S ribosome, mitochondrial","SELMODRAFT_402283"
"55S ribosome, mitochondrial","SELMODRAFT_404176"
"55S ribosome, mitochondrial","rps11"
"55S ribosome, mitochondrial","SELMODRAFT_27386"
"55S ribosome, mitochondrial","SELMODRAFT_410329"
"55S ribosome, mitochondrial","SELMODRAFT_85537"
"55S ribosome, mitochondrial","SELMODRAFT_137779"
"39S ribosomal subunit, mitochondrial","SELMODRAFT_114005"
"39S ribosomal subunit, mitochondrial","SELMODRAFT_27386"
"39S ribosomal subunit, mitochondrial","SELMODRAFT_410329"
"39S ribosomal subunit, mitochondrial","SELMODRAFT_85537"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_228129"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_36118"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_153225"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_160008"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_148446"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_432268"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_183051"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_145246"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_152664"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_171673"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_268639"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_172795"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_172403"
"40S ribosomal subunit, cytoplasmic","SELMODRAFT_172404"
