"complex","target"
"MUS81-CDS1 complex","100798497"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","100803525"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","100803525"
"Nup 107-160 subcomplex","100785741"
"RNA polymerase II holoenzyme complex","GLYMA_15G073800"
"RNA polymerase II holoenzyme complex","100790164"
"RNA polymerase II core complex","GLYMA_15G073800"
"RNA polymerase II core complex","100790164"
"TFIIH transcription factor complex","100305654"
"GPI-GnT activity complex","100796558"
"Rnase/Mrp complex","100776746"
"NDC80 kinetochore complex","100804770"
"NDC80 kinetochore complex","100815227"
"Condensin I-PARP-1-XRCC1 complex","100815900"
"Condensin I-PARP-1-XRCC1 complex","100820482"
"MRN complex (MRE11-RAD50-NBN complex)","100818545"
"OGT-TRAK1-TRAK2 complex","GLYMA_07G109800"
"Respiratory chain complex I (holoenzyme), mitochondrial","100526984"
"Respiratory chain complex I (holoenzyme), mitochondrial","100796585"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)","100803525"
"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)","100803525"
"SMCC complex","100792248"
"SMCC complex","100306480"
"NAT complex","100792248"
"NAT complex","100306480"
"NAT complex","100798789"
"Mediator complex","100792248"
"Mediator complex","100306480"
"Mediator complex","100798789"
"ARC complex","100792248"
"ARC complex","100798789"
"BRAFT complex","100792409"
"RAD51C-XRCC3 complex","100799681"
"TBPIP/HOP2-MND1 complex","100778781"
"RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex","100799681"
"R/M complex (RAD50-MRE11 complex)","100818545"
"ATR-ATRIP complex","100804117"
"RAD17-RFC complex","100799826"
"9-1-1-RAD17-RFC complex","100799826"
"CRSP complex","100792248"
"CRSP complex","100306480"
"CRSP complex","100798789"
"PCNA-MSH2-MSH6 complex","100792272"
"PCNA-MSH2-MSH6 complex","100811104"
"ARC-L complex","100792248"
"ARC-L complex","100306480"
"ARC-L complex","100798789"
"ARC complex","100306480"
"PC2 complex","100792248"
"PC2 complex","100306480"
"SRCAP-associated chromatin remodeling complex","100811669"
"Ribosome, cytoplasmic","100786325"
"Ribosome, cytoplasmic","GLYMA_07G168000"
"28S ribosomal subunit, mitochondrial","rps14"
"28S ribosomal subunit, mitochondrial","GLYMA_02G221500"
"55S ribosome, mitochondrial","rps14"
"55S ribosome, mitochondrial","GLYMA_02G221500"
"40S ribosomal subunit, cytoplasmic","100786325"
"40S ribosomal subunit, cytoplasmic","GLYMA_07G168000"
"Spliceosome","100809428"
"Spliceosome","100306112"
"Spliceosome","100305856"
"Spliceosome","100788964"
"Spliceosome","100781333"
"Spliceosome","100783213"
"Spliceosome","100305778"
"Spliceosome","LSM4"
"ERCC1-ERCC4-MSH2 complex","100792272"
"MSH2-MSH6-PMS2-MLH1 complex","100792272"
