"complex","target"
"Modulator","LOC107906888"
"PA700 complex","LOC107906888"
"DNMT3B complex","LOC107953636"
"AP3 adaptor complex","LOC107931021"
"Nup 107-160 subcomplex","LOC107891730"
"Anaphase-promoting complex","LOC107917781"
"Anaphase-promoting complex","LOC107909410"
"RNA polymerase II holoenzyme complex","LOC107960207"
"RNA polymerase II holoenzyme complex","LOC107936094"
"RNA polymerase II holoenzyme complex","LOC107946230"
"RNA polymerase II core complex","LOC107960207"
"RNA polymerase II core complex","LOC107936094"
"RNA polymerase II core complex","LOC107946230"
"Prefoldin complex","LOC107921694"
"Prefoldin complex","LOC107904383"
"Prefoldin complex","LOC107936148"
"Prefoldin complex","LOC107936909"
"Rnase/Mrp complex","LOC107905282"
"Rnase/Mrp complex","LOC107906177"
"CCT-Prefoldin complex","LOC107921694"
"CCT-Prefoldin complex","LOC107904383"
"CCT-Prefoldin complex","LOC107936148"
"CCT-Prefoldin complex","LOC107936909"
"Condensin I-PARP-1-XRCC1 complex","LOC107953636"
"Condensin II","LOC107953636"
"MRN complex (MRE11-RAD50-NBN complex)","LOC107935715"
"Respiratory chain complex I (holoenzyme), mitochondrial","nad4L"
"Respiratory chain complex I (holoenzyme), mitochondrial","LOC107891511"
"26S proteasome","LOC107911700"
"Wave-2 complex","LOC107891836"
"20S proteasome","LOC107911700"
"PA28-20S proteasome","LOC107911700"
"PA700-20S-PA28 complex","LOC107906888"
"PA700-20S-PA28 complex","LOC107911700"
"PA28gamma-20S proteasome","LOC107911700"
"DNA ligase IV-XRCC1 complex","LOC107940281"
"CAND1-CUL3-RBX1 complex","LOC107904068"
"BRAFT complex","LOC107893353"
"TBPIP/HOP2-MND1 complex","LOC107932201"
"RAD17-RFC complex","LOC107901388"
"RAD17-RFC complex","LOC107949298"
"9-1-1-RAD17-RFC complex","LOC107901388"
"9-1-1-RAD17-RFC complex","LOC107949298"
"RFC complex","LOC107901388"
"RFC complex","LOC107927582"
"RFC complex","LOC107949298"
"RFC core complex","LOC107901388"
"RFC core complex","LOC107949298"
"PCNA-MSH2-MSH6 complex","LOC107888755"
"PCNA-MSH2-MSH6 complex","LOC107919518"
"SRCAP-associated chromatin remodeling complex","LOC107963862"
"Ribosome, cytoplasmic","LOC107958736"
"28S ribosomal subunit, mitochondrial","LOC107944922"
"28S ribosomal subunit, mitochondrial","LOC107922572"
"28S ribosomal subunit, mitochondrial","rps15"
"55S ribosome, mitochondrial","rpl33"
"55S ribosome, mitochondrial","LOC107944922"
"55S ribosome, mitochondrial","LOC107922572"
"55S ribosome, mitochondrial","rps15"
"55S ribosome, mitochondrial","LOC107898526"
"55S ribosome, mitochondrial","LOC107901301"
"39S ribosomal subunit, mitochondrial","rpl33"
"39S ribosomal subunit, mitochondrial","LOC107898526"
"39S ribosomal subunit, mitochondrial","LOC107901301"
"DNA ligase IV-XRCC4-AHNK complex","LOC107940281"
"40S ribosomal subunit, cytoplasmic","LOC107958736"
"DNA ligase IV-XRCC4 complex","LOC107940281"
"DNA ligase IV-XRCC4-PNK complex","LOC107940281"
"Spliceosome","LOC107904018"
"Spliceosome","LOC107897390"
"Spliceosome","LOC107918298"
"Spliceosome","LOC107909182"
"Spliceosome","LOC107942735"
"Spliceosome","LOC107909635"
"Spliceosome","LOC107955905"
"Spliceosome","LOC107896773"
"Spliceosome","LOC107922165"
"Spliceosome","LOC107950582"
"Spliceosome","LOC107939473"
"DNA ligase IV-condensin complex","LOC107953636"
"DNA ligase IV-condensin complex","LOC107940281"
"DNA ligase IV-XRCC4-XLF complex","LOC107940281"
"ERCC1-ERCC4-MSH2 complex","LOC107888755"
"MSH2-MSH6-PMS2-MLH1 complex","LOC107888755"
"MSH2-MSH6-PMS2-MLH1 complex","LOC107919518"
"MSH2-MSH6-PMS1-MLH1 complex","LOC107888755"
"MSH2-MSH6-PMS1-MLH1 complex","LOC107919518"
"MSH2-MSH6 complex","LOC107888755"
"MSH2-MSH6 complex","LOC107919518"
"MSH2-MSH3 complex","LOC107888755"
"PCNA-MutS-alpha-MutL-alpha-DNA complex","LOC107888755"
"PCNA-MutS-alpha-MutL-alpha-DNA complex","LOC107919518"
"Ubiquitin E3 ligase (UBADC1, RNF123)","LOC107914376"
"Respiratory chain complex I, mitochondrial","LOC107891511"
"Respiratory chain complex I, mitochondrial","nad4L"
"Respiratory chain complex I (subcomplex I alpha), mitochondrial","LOC107891511"
"Respiratory chain complex I (subcomplex I lambda), mitochondrial","LOC107891511"
"Farnesyltransferase","LOC107904382"
