"complex","target"
"MUS81-CDS1 complex","CHLRE_12g555050v5"
"Arp2/3 protein complex","CHLRE_17g747197v5"
"Arp2/3 protein complex","CHLRE_09g397950v5"
"Arp2/3 protein complex","ARP2"
"Modulator","CHLRE_04g226950v5"
"Modulator","RPT5"
"PA700 complex","RPN6"
"PA700 complex","CHLRE_14g632775v5"
"PA700 complex","CHLRE_04g226950v5"
"PA700 complex","CHLRE_01g011500v5"
"PA700 complex","RPN3"
"PA700 complex","RPT5"
"PA700 complex","RPT1"
"PA700 complex","CHLRE_09g402450v5"
"PA700 complex","CHLRE_17g708300v5"
"PA700 complex","RPT2"
"PA700 complex","CHLRE_04g216600v5"
"PA700 complex","CHLRE_16g676197v5"
"PA700 complex","CHLRE_13g581450v5"
"PA700 complex","CHLRE_05g246300v5"
"PA700 complex","CHLRE_17g727950v5"
"PA700 complex","RPN9"
"DNMT3B complex","CHLRE_02g086650v5"
"SIN3 complex","CHLRE_09g404400v5"
"SIN3 complex","CHLRE_13g581750v5"
"Mi2/NuRD complex","CHLRE_13g581750v5"
"MeCP1 complex","CHLRE_13g581750v5"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","SKP1"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","SKP1"
"NUMAC complex (nucleosomal methylation activator complex)","CHLRE_15g635350v5"
"Nup 107-160 subcomplex","SEC13"
"Nup 107-160 subcomplex","CHLRE_10g425675v5"
"Nup 107-160 subcomplex","SEC13L"
"Nup 107-160 subcomplex","CHLRE_08g383650v5"
"Anaphase-promoting complex","CHLRE_17g740510v5"
"Anaphase-promoting complex","CHLRE_13g562950v5"
"Anaphase-promoting complex","CHLRE_13g579100v5"
"Anaphase-promoting complex","CHLRE_16g681578v5"
"Anaphase-promoting complex","CHLRE_01g034650v5"
"Anaphase-promoting complex","CHLRE_10g460532v5"
"Ku antigen-NARG1 complex","CHLRE_13g607500v5"
"Ku antigen-NARG1 complex","CHLRE_10g423800v5"
"Anaphase-promoting complex","CHLRE_13g571850v5"
"hNURF complex","CHLRE_13g581750v5"
"hNURF complex","CHLRE_05g247000v5"
"RNA polymerase II holoenzyme complex","CHLRE_17g706300v5"
"RNA polymerase II holoenzyme complex","CHLRE_10g419750v5"
"RNA polymerase II holoenzyme complex","CHLRE_09g403219v5"
"RNA polymerase II holoenzyme complex","CHLRE_06g297016v5"
"RNA polymerase II holoenzyme complex","CHLRE_11g481550v5"
"RNA polymerase II holoenzyme complex","CHLRE_12g512700v5"
"RNA polymerase II holoenzyme complex","CHLRE_02g075150v5"
"RNA polymerase II holoenzyme complex","CHLRE_10g466550v5"
"RNA polymerase II holoenzyme complex","RPB9"
"RNA polymerase II holoenzyme complex","CHLRE_02g102800v5"
"RNA polymerase II holoenzyme complex","RPB12"
"RNA polymerase II holoenzyme complex","CHLRE_01g002200v5"
"RNA polymerase II holoenzyme complex","RPB7A"
"RNA polymerase II holoenzyme complex","RPB10"
"RNA polymerase II holoenzyme complex","CHLRE_06g310450v5"
"RNA polymerase II holoenzyme complex","CHLRE_03g172050v5"
"RNA polymerase II holoenzyme complex","CHLRE_09g403300v5"
"RNA polymerase II core complex","CHLRE_10g419750v5"
"RNA polymerase II core complex","CHLRE_09g403219v5"
"RNA polymerase II core complex","CHLRE_02g075150v5"
"RNA polymerase II core complex","RPB9"
"RNA polymerase II core complex","CHLRE_02g102800v5"
"RNA polymerase II core complex","RPB12"
"RNA polymerase II core complex","CHLRE_01g002200v5"
"RNA polymerase II core complex","RPB7A"
"RNA polymerase II core complex","RPB10"
"TFIIH transcription factor complex","CHLRE_17g706300v5"
"TFIIH transcription factor complex","CHLRE_06g297016v5"
"TFIIH transcription factor complex","CHLRE_10g466550v5"
"TFIIH transcription factor complex","CHLRE_14g632783v5"
"TFIIH transcription factor complex","CHLRE_16g672753v5"
"TFIIH transcription factor complex","CHLRE_03g172050v5"
"TFIIH transcription factor complex","CHLRE_09g403300v5"
"Prefoldin complex","PFD1"
"Prefoldin complex","CHLRE_12g523150v5"
"Prefoldin complex","CHLRE_16g671750v5"
"Prefoldin complex","CHLRE_07g342250v5"
"SNAPc (small nuclear RNA-activating protein) complex","CHLRE_17g714229v5"
"SNAPc (small nuclear RNA-activating protein) complex","CHLRE_15g636650v5"
"GPI-GnT activity complex","CHLRE_02g109850v5"
