"complex","target"
"Arp2/3 protein complex","ARPC3"
"Arp2/3 protein complex","ARP2"
"Modulator","MTI20.21"
"PA700 complex","RPN6"
"PA700 complex","MTI20.21"
"PA700 complex","RPT3"
"PA700 complex","RPN7"
"PA700 complex","At3g15180"
"AP3 adaptor complex","DELTA-ADR"
"TRAP complex","MED14"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","SKP1A"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","SKP1A"
"NUMAC complex (nucleosomal methylation activator complex)","BSH"
"Nup 107-160 subcomplex","NUP107"
"Nup 107-160 subcomplex","NUP85"
"Anaphase-promoting complex","APC6"
"Anaphase-promoting complex","APC8"
"Anaphase-promoting complex","APC7"
"Anaphase-promoting complex","APC5"
"Anaphase-promoting complex","APC2"
"Ku antigen-NARG1 complex","KU70"
"Ku antigen-NARG1 complex","KU80"
"Anaphase-promoting complex","APC10"
"RNA polymerase II holoenzyme complex","NRPB4"
"RNA polymerase II holoenzyme complex","XPD"
"RNA polymerase II holoenzyme complex","NRPB2"
"RNA polymerase II holoenzyme complex","NRPB7"
"RNA polymerase II holoenzyme complex","TFB4"
"RNA polymerase II core complex","NRPB4"
"RNA polymerase II core complex","NRPB2"
"RNA polymerase II core complex","NRPB7"
"TFIIH transcription factor complex","XPD"
"TFIIH transcription factor complex","At4g30820"
"TFIIH transcription factor complex","TFB4"
"Prefoldin complex","PFD1"
"Prefoldin complex","At5g49510"
"Prefoldin complex","At5g23290"
"Prefoldin complex","AIP3"
"Prefoldin complex","At3g22480"
"SNAPc (small nuclear RNA-activating protein) complex","SRD2"
"GPI-GnT activity complex","At4g35530"
"GPI-GnT activity complex","PIGC"
"GPI-GnT activity complex","At3g57170"
"Rnase/Mrp complex","POP4"
"Rnase/Mrp complex","GAF1"
"Rnase/Mrp complex","EMB1687"
"Rnase/Mrp complex","POP1"
"CCT complex (chaperonin containing TCP1 complex)","CCT3"
"CCT complex (chaperonin containing TCP1 complex)","CCT4"
"CCT complex (chaperonin containing TCP1 complex)","CCT2"
"CCT complex (chaperonin containing TCP1 complex)","CCT7"
"NDC80 kinetochore complex","NDC80"
"NDC80 kinetochore complex","NUF2"
"CD147-gamma-secretase complex","At5g09310"
"CCT-Prefoldin complex","PFD1"
"CCT-Prefoldin complex","At5g49510"
"CCT-Prefoldin complex","CCT7"
"CCT-Prefoldin complex","CCT4"
"CCT-Prefoldin complex","CCT3"
"CCT-Prefoldin complex","CCT2"
"CCT-Prefoldin complex","At5g23290"
"CCT-Prefoldin complex","AIP3"
"CCT-Prefoldin complex","At3g22480"
"PBAF complex (Polybromo- and BAF containing complex)","BSH"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT7"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT4"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT3"
"CCT complex (chaperonin containing TCP1 complex), testis specific","CCT2"
"Condensin I-PARP-1-XRCC1 complex","XRCC1"
"Condensin I-PARP-1-XRCC1 complex","At3g57060"
"Condensin I-PARP-1-XRCC1 complex","EMB2656"
"Condensin II","CAPH2"
"Condensin II","HEB1"
"COG complex","EYE"
"COG complex","At4g24840"
"COG complex","MQK4.2"
"COG complex","At1g73430"
"COG complex","At5g11980"
"COG complex","At1g67930"
