"complex","target"
"RNA polymerase II holoenzyme complex","W5C4N7"
"RNA polymerase II holoenzyme complex","W5A2U5"
"RNA polymerase II core complex","W5C4N7"
"RNA polymerase II core complex","W5A2U5"
"Prefoldin complex","A0A3B6MYY2"
"CCT-Prefoldin complex","A0A3B6MYY2"
"Condensin I-PARP-1-XRCC1 complex","A0A3B5ZN79"
"Respiratory chain complex I (holoenzyme), mitochondrial","W5E0K4"
"Respiratory chain complex I (holoenzyme), mitochondrial","W5EHI0"
"Respiratory chain complex I (holoenzyme), mitochondrial","A0A1D6CQ74"
"26S proteasome","W5F826"
"Wave-2 complex","A0A0C4BIZ2"
"20S proteasome","W5F826"
"PA28-20S proteasome","W5F826"
"PA700-20S-PA28 complex","W5F826"
"PA28gamma-20S proteasome","W5F826"
"CAND1-CUL3-RBX1 complex","A0A3B6DLZ7"
"Mediator complex","W5BGU5"
"ARC complex","W5BGU5"
"RAD17-RFC complex","A0A3B6CEI5"
"9-1-1-RAD17-RFC complex","A0A3B6CEI5"
"RFC complex","A0A3B6CEI5"
"RFC core complex","A0A3B6CEI5"
"CRSP complex","W5BGU5"
"ARC-L complex","W5BGU5"
"PC2 complex","W5BGU5"
"SMCC complex","W5BGU5"
"Ribosome, cytoplasmic","Q8L805"
"Ribosome, cytoplasmic","A0A1D5RRD3"
"Ribosome, cytoplasmic","W5FV77"
"Ribosome, cytoplasmic","A0A3B6CH63"
"Ribosome, cytoplasmic","W5E8X2"
"Ribosome, cytoplasmic","A0A3B6LXN2"
"60S ribosomal subunit, cytoplasmic","Q8L805"
"60S ribosomal subunit, cytoplasmic","A0A1D5RRD3"
"60S ribosomal subunit, cytoplasmic","A0A3B6LXN2"
"40S ribosomal subunit, cytoplasmic","W5FV77"
"40S ribosomal subunit, cytoplasmic","A0A3B6CH63"
"40S ribosomal subunit, cytoplasmic","W5E8X2"
"Spliceosome","W5EH10"
"Spliceosome","A0A1D5YNP5"
"Spliceosome","A0A3B6QNZ2"
"Spliceosome","W5HPH0"
"Spliceosome","W5FIY8"
"Vacuolar ATPase","B2B9T8"
"Respiratory chain complex I, mitochondrial","W5E0K4"
