"complex","target"
"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","CELE_W09G3.6"
"MUS81-CDS1 complex","mus-81"
"Arp2/3 protein complex","arx-4"
"Arp2/3 protein complex","arx-5"
"Arp2/3 protein complex","arx-2"
"Modulator","rpt-4"
"Modulator","psmd-9"
"Modulator","rpt-5"
"PA700 complex","rpn-6.1"
"PA700 complex","rpn-5"
"PA700 complex","psmd-9"
"PA700 complex","rpn-3"
"PA700 complex","rpt-5"
"PA700 complex","rpt-1"
"PA700 complex","rpt-3"
"PA700 complex","rpn-12"
"PA700 complex","rpt-2"
"PA700 complex","rpt-6"
"PA700 complex","rpt-4"
"PA700 complex","rpn-1"
"PA700 complex","rpn-7"
"PA700 complex","rpn-2"
"PA700 complex","rpn-9"
"DNMT3B complex","mix-1"
"RAB5-RABAPTIN5\u2013RABEX5 complex","rabn-5"
"SIN3 complex","C16C10.4"
"SIN3 complex","rba-1"
"AP3 adaptor complex","apd-3"
"Mi2/NuRD complex","rba-1"
"MeCP1 complex","rba-1"
"TRAP complex","rgr-1"
"TRAP complex","mdt-17"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","rbx-1"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","skpt-1"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","rbx-1"
"NUMAC complex (nucleosomal methylation activator complex)","snfc-5"
"NUMAC complex (nucleosomal methylation activator complex)","swsn-3"
"NUMAC complex (nucleosomal methylation activator complex)","CELE_W07G4.3"
"Nup 107-160 subcomplex","npp-20"
"Nup 107-160 subcomplex","npp-5"
"Nup 107-160 subcomplex","npp-23"
"Nup 107-160 subcomplex","npp-15"
"Nup 107-160 subcomplex","npp-18"
"Nup 107-160 subcomplex","npp-2"
"Anaphase-promoting complex","mat-1"
"Anaphase-promoting complex","emb-27"
"Anaphase-promoting complex","mat-2"
"Anaphase-promoting complex","mat-3"
"Anaphase-promoting complex","apc-2"
"Ku antigen-NARG1 complex","cku-70"
"Ku antigen-NARG1 complex","cku-80"
"Anaphase-promoting complex","CELE_Y48G1C.12"
"hNURF complex","rba-1"
"hNURF complex","nurf-1"
"RNA polymerase II holoenzyme complex","rpb-4"
"RNA polymerase II holoenzyme complex","gtf-2f2"
"RNA polymerase II holoenzyme complex","xpd-1"
"RNA polymerase II holoenzyme complex","rpb-3"
"RNA polymerase II holoenzyme complex","rpb-5"
"RNA polymerase II holoenzyme complex","xpb-1"
"RNA polymerase II holoenzyme complex","gtf-2e1"
"RNA polymerase II holoenzyme complex","gtf-2e2"
"RNA polymerase II holoenzyme complex","rpb-2"
"RNA polymerase II holoenzyme complex","gtf-2h1"
"RNA polymerase II holoenzyme complex","gtf-2f1"
"RNA polymerase II holoenzyme complex","rpb-9"
"RNA polymerase II holoenzyme complex","rpb-8"
"RNA polymerase II holoenzyme complex","rpb-12"
"RNA polymerase II holoenzyme complex","rpb-6"
"RNA polymerase II holoenzyme complex","rpb-7"
"RNA polymerase II holoenzyme complex","rpb-10"
"RNA polymerase II holoenzyme complex","ttb-1"
"RNA polymerase II holoenzyme complex","gtf-2h3"
"RNA polymerase II holoenzyme complex","CELE_Y73F8A.24"
"RNA polymerase II core complex","rpb-4"
"RNA polymerase II core complex","rpb-3"
"RNA polymerase II core complex","rpb-5"
"RNA polymerase II core complex","rpb-2"
"RNA polymerase II core complex","rpb-9"
"RNA polymerase II core complex","rpb-8"
"RNA polymerase II core complex","rpb-12"
"RNA polymerase II core complex","rpb-6"
"RNA polymerase II core complex","rpb-7"
"RNA polymerase II core complex","rpb-10"
"TFIIH transcription factor complex","xpd-1"
"TFIIH transcription factor complex","xpb-1"
"TFIIH transcription factor complex","gtf-2h1"
"TFIIH transcription factor complex","cdk-7"
"TFIIH transcription factor complex","cyh-1"
"TFIIH transcription factor complex","mnat-1"
"TFIIH transcription factor complex","gtf-2h3"
"TFIIH transcription factor complex","CELE_Y73F8A.24"
"Prefoldin complex","pfd-1"
"Prefoldin complex","pfd-3"
"Prefoldin complex","pfd-5"
"Prefoldin complex","pfd-4"
"Prefoldin complex","pfd-2"
"SNAPc (small nuclear RNA-activating protein) complex","snpc-4"
"GPR56-CD81-Galpha(q/11)-Gbeta complex","tsp-3"
"GPI-GnT activity complex","piga-1"
"GPI-GnT activity complex","CELE_T20D3.8"
"GPI-GnT activity complex","CELE_F01G4.5"
"Rnase/Mrp complex","CELE_Y62E10A.24"
"Rnase/Mrp complex","C15C6.4"
"Rnase/Mrp complex","CELE_H35B03.2"
"Rnase/Mrp complex","CELE_Y66A7A.2"
"Rnase/Mrp complex","C05D11.9"
"RGS9-GNB5-GNAT1-R9AP complex","gpb-2"
"CCT complex (chaperonin containing TCP1 complex)","cct-1"
"CCT complex (chaperonin containing TCP1 complex)","cct-5"
"CCT complex (chaperonin containing TCP1 complex)","cct-3"
"CCT complex (chaperonin containing TCP1 complex)","cct-8"
"CCT complex (chaperonin containing TCP1 complex)","cct-4"
"CCT complex (chaperonin containing TCP1 complex)","cct-2"
"CCT complex (chaperonin containing TCP1 complex)","cct-7"
"NDC80 kinetochore complex","ndc-80"
"CD147-gamma-secretase complex","aph-2"
"CD147-gamma-secretase complex","pen-2"
"CCT-Prefoldin complex","pfd-1"
"CCT-Prefoldin complex","pfd-3"
"CCT-Prefoldin complex","cct-7"
"CCT-Prefoldin complex","cct-4"
"CCT-Prefoldin complex","cct-1"
"CCT-Prefoldin complex","cct-3"
"CCT-Prefoldin complex","cct-5"
"CCT-Prefoldin complex","cct-2"
"CCT-Prefoldin complex","cct-8"
"CCT-Prefoldin complex","pfd-5"
"CCT-Prefoldin complex","pfd-4"
"CCT-Prefoldin complex","pfd-2"
"PBAF complex (Polybromo- and BAF containing complex)","snfc-5"
"PBAF complex (Polybromo- and BAF containing complex)","pbrm-1"
"PBAF complex (Polybromo- and BAF containing complex)","swsn-3"
"CCT complex (chaperonin containing TCP1 complex), testis specific","cct-7"
"CCT complex (chaperonin containing TCP1 complex), testis specific","cct-4"
"CCT complex (chaperonin containing TCP1 complex), testis specific","cct-1"
"CCT complex (chaperonin containing TCP1 complex), testis specific","cct-3"
"CCT complex (chaperonin containing TCP1 complex), testis specific","cct-5"
"CCT complex (chaperonin containing TCP1 complex), testis specific","cct-2"
"CCT complex (chaperonin containing TCP1 complex), testis specific","cct-8"
"TFIIE complex","gtf-2e1"
"TFIIE complex","gtf-2e2"
"TFIIF complex (transcription factor IIF)","gtf-2f2"
"TFIIF complex (transcription factor IIF)","gtf-2f1"
"Retrotranslocation complex","sel-11"
"Retrotranslocation complex","cup-2"
"Condensin I-PARP-1-XRCC1 complex","mix-1"
"Condensin I-PARP-1-XRCC1 complex","dpy-28"
"Condensin II","mix-1"
"Condensin II","hcp-6"
"Condensin II","kle-2"
"Condensin II","capg-2"
"COG complex","cogc-2"
"COG complex","cogc-3"
"COG complex","cogc-8"
"COG complex","cogc-4"
"COG complex","cogc-5"
"COG complex","cogc-6"
"Cohesin-SA1 complex","smc-3"
"Cohesin-SA2 complex","smc-3"
"MRN complex (MRE11-RAD50-NBN complex)","rad-50"
"OGT-TRAK1-TRAK2 complex","ogt-1"
"Respiratory chain complex I (holoenzyme), mitochondrial","T20H4.5"
"Respiratory chain complex I (holoenzyme), mitochondrial","CELE_Y56A3A.19"
"Respiratory chain complex I (holoenzyme), mitochondrial","lpd-5"
"Respiratory chain complex I (holoenzyme), mitochondrial","C25H3.9"
"Respiratory chain complex I (holoenzyme), mitochondrial","C18E9.4"
"Respiratory chain complex I (holoenzyme), mitochondrial","CELE_Y63D3A.7"
"Respiratory chain complex I (holoenzyme), mitochondrial","nduf-5"
"Respiratory chain complex I (holoenzyme), mitochondrial","nduf-7"
"Respiratory chain complex I (holoenzyme), mitochondrial","nduf-6"
"Respiratory chain complex I (holoenzyme), mitochondrial","nuo-2"
"Respiratory chain complex I (holoenzyme), mitochondrial","CELE_ZK809.3"
