"complex","target"
"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","DDB0186829"
"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","DDB0217708"
"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","DDB0168011"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","bloc1s2"
"Arp2/3 protein complex","arcB"
"Arp2/3 protein complex","arcC"
"Arp2/3 protein complex","arpB"
"Modulator","psmC6"
"Modulator","psmD9"
"Modulator","psmC3"
"PA700 complex","psmD11"
"PA700 complex","psmD12"
"PA700 complex","psmD9"
"PA700 complex","psmD14"
"PA700 complex","psmD3"
"PA700 complex","DDB0185806"
"PA700 complex","psmC3"
"PA700 complex","psmC2"
"PA700 complex","psmC4"
"PA700 complex","psmD8-1"
"PA700 complex","psmC1"
"PA700 complex","psmC5"
"PA700 complex","psmC6"
"PA700 complex","psmD2"
"PA700 complex","psmD6"
"PA700 complex","DDB0217054"
"PA700 complex","psmD1"
"PA700 complex","psmD13"
"DNMT3B complex","smc2"
"DNMT3B complex","smc4"
"SIN3 complex","DDB0218654"
"AP3 adaptor complex","ap3d1"
"TRAP complex","med14"
"NUMAC complex (nucleosomal methylation activator complex)","DDB_G0279373"
"Nup 107-160 subcomplex","sec13"
"Nup 107-160 subcomplex","DDB0186582"
"Nup 107-160 subcomplex","nup43"
"Nup 107-160 subcomplex","DDB0169145"
"Nup 107-160 subcomplex","nup85"
"Anaphase-promoting complex","anapc6"
"Anaphase-promoting complex","anapc1"
"Anaphase-promoting complex","anapc8"
"Anaphase-promoting complex","anapc7"
"Anaphase-promoting complex","anapc5"
"Anaphase-promoting complex","anapc2"
"Ku antigen-NARG1 complex","ku70"
"Ku antigen-NARG1 complex","ku80"
"Anaphase-promoting complex","anapc10"
"RNA polymerase II holoenzyme complex","polr2d"
"RNA polymerase II holoenzyme complex","gtf2f2"
"RNA polymerase II holoenzyme complex","repD"
"RNA polymerase II holoenzyme complex","polr2c"
"RNA polymerase II holoenzyme complex","polr2e"
"RNA polymerase II holoenzyme complex","repB"
"RNA polymerase II holoenzyme complex","gtf2e1-1"
"RNA polymerase II holoenzyme complex","polr2b"
"RNA polymerase II holoenzyme complex","gtf2h1"
"RNA polymerase II holoenzyme complex","gtf2f1"
"RNA polymerase II holoenzyme complex","rpb9"
"RNA polymerase II holoenzyme complex","polr2h"
"RNA polymerase II holoenzyme complex","polr2k"
"RNA polymerase II holoenzyme complex","polr2f"
"RNA polymerase II holoenzyme complex","polr2g"
"RNA polymerase II holoenzyme complex","polr2l"
"RNA polymerase II holoenzyme complex","gtf2b"
"RNA polymerase II holoenzyme complex","gtf2h3"
"RNA polymerase II holoenzyme complex","gtf2h4"
"RNA polymerase II core complex","polr2d"
"RNA polymerase II core complex","polr2c"
"RNA polymerase II core complex","polr2e"
"RNA polymerase II core complex","polr2b"
"RNA polymerase II core complex","rpb9"
"RNA polymerase II core complex","polr2h"
"RNA polymerase II core complex","polr2k"
"RNA polymerase II core complex","polr2f"
"RNA polymerase II core complex","polr2g"
"RNA polymerase II core complex","polr2l"
"TFIIH transcription factor complex","repD"
"TFIIH transcription factor complex","repB"
"TFIIH transcription factor complex","gtf2h1"
"TFIIH transcription factor complex","cycH"
"TFIIH transcription factor complex","mnat1"
"TFIIH transcription factor complex","gtf2h3"
"TFIIH transcription factor complex","gtf2h4"
"Prefoldin complex","pfdn3"
"Prefoldin complex","pfdn5"
"Prefoldin complex","pfdn4"
"Prefoldin complex","pfdn2"
"SNAPc (small nuclear RNA-activating protein) complex","mybN"
"SNAPc (small nuclear RNA-activating protein) complex","DDB0203238"
"GPI-GnT activity complex","DDB0185779"
"GPI-GnT activity complex","pigC"
"GPI-GnT activity complex","DDB0205815"
"Rnase/Mrp complex","drpp20"
