"complex","target"
"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","HPS1"
"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","HPS4"
"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","Dmel\CG14562"
"BLOC-2 (biogenesis of lysosome-related organelles complex 2)","p"
"MUS81-CDS1 complex","mus81"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","Snapin"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","Blos2"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","Dysb"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","Blos4"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","Pldn"
"Arp2/3 protein complex","Arpc2"
"Arp2/3 protein complex","Arpc5"
"Arp2/3 protein complex","Arp2"
"Modulator","Rpt4"
"Modulator","CG9588"
"Modulator","Rpt5"
"PA700 complex","Rpn6"
"PA700 complex","Rpn5"
"PA700 complex","CG9588"
"PA700 complex","Rpn3"
"PA700 complex","Rpt5"
"PA700 complex","Rpt1"
"PA700 complex","Rpt3"
"PA700 complex","Rpt2"
"PA700 complex","Rpt6"
"PA700 complex","Rpt4"
"PA700 complex","Rpn1"
"PA700 complex","Rpn7"
"PA700 complex","Rpn2"
"PA700 complex","Rpn9"
"AP1 adaptor complex","AP-1sigma"
"DNMT3B complex","SMC2"
"DNMT3B complex","glu"
"RAB5-RABAPTIN5\u2013RABEX5 complex","Rbpn-5"
"SIN3 complex","Bin1"
"AP3 adaptor complex","g"
"TRAP complex","MED14"
"TRAP complex","MED24"
"TRAP complex","MED17"
"TRAP complex","MED16"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","Roc1a"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","Skp2"
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)","Cul1"
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)","Roc1a"
"NUMAC complex (nucleosomal methylation activator complex)","Snr1"
"NUMAC complex (nucleosomal methylation activator complex)","Art4"
"NUMAC complex (nucleosomal methylation activator complex)","Bap111"
"NUMAC complex (nucleosomal methylation activator complex)","yata"
"Nup 107-160 subcomplex","Nup98-96"
"Nup 107-160 subcomplex","Sec13"
"Nup 107-160 subcomplex","Nup107"
"Nup 107-160 subcomplex","Nup160"
