"complex","gene_name"
"12S U11 snRNP","725880"
"12S U11 snRNP","552559"
"12S U11 snRNP","LOC414039"
"12S U11 snRNP","724533"
"12S U11 snRNP","551177"
"12S U11 snRNP","727087"
"12S U11 snRNP","LOC551392"
"12S U11 snRNP","725630"
"12S U11 snRNP","100578277"
"12S U11 snRNP","LOC107966055"
"17S U2 snRNP","LOC413578"
"17S U2 snRNP","551824"
"17S U2 snRNP","551331"
"17S U2 snRNP","410294"
"17S U2 snRNP","410027"
"17S U2 snRNP","Snf"
"17S U2 snRNP","412064"
"17S U2 snRNP","409384"
"17S U2 snRNP","LOC550656"
"17S U2 snRNP","725880"
"17S U2 snRNP","552559"
"17S U2 snRNP","LOC414039"
"17S U2 snRNP","724533"
"17S U2 snRNP","410040"
"17S U2 snRNP","413963"
"17S U2 snRNP","LOC550968"
"17S U2 snRNP","726336"
"17S U2 snRNP","LOC550935"
"17S U2 snRNP","410434"
"17S U2 snRNP","409883"
"17S U2 snRNP","727008"
"17S U2 snRNP","LOC724320"
"17S U2 snRNP","410383"
"17S U2 snRNP","409696"
"17S U2 snRNP","LOC102656442"
"17S U2 snRNP","LOC725115"
"17S U2 snRNP","LOC107964950"
"18S U11/U12 snRNP","551824"
"18S U11/U12 snRNP","551331"
"18S U11/U12 snRNP","725880"
"18S U11/U12 snRNP","552559"
"18S U11/U12 snRNP","LOC414039"
"18S U11/U12 snRNP","724533"
"18S U11/U12 snRNP","726336"
"18S U11/U12 snRNP","LOC550935"
"18S U11/U12 snRNP","410434"
"18S U11/U12 snRNP","551177"
"18S U11/U12 snRNP","LOC551392"
"18S U11/U12 snRNP","551620"
"18S U11/U12 snRNP","725630"
"18S U11/U12 snRNP","552308"
"18S U11/U12 snRNP","550858"
"18S U11/U12 snRNP","100578277"
"18S U11/U12 snRNP","LOC102656442"
"18S U11/U12 snRNP","LOC408711"
"18S U11/U12 snRNP","LOC107964950"
"20S methylosome and RG-containing Sm protein complex","410664"
"20S methylosome and RG-containing Sm protein complex","551690"
"20S methylosome and RG-containing Sm protein complex","552559"
"20S methylosome and RG-containing Sm protein complex","LOC414039"
"20S methylosome and RG-containing Sm protein complex","724533"
"20S methylosome-SmD complex","410664"
"20S methylosome-SmD complex","551690"
"20S methylosome-SmD complex","552559"
"20S methylosome-SmD complex","724533"
"20S methyltransferase core complex","410664"
"20S methyltransferase core complex","551690"
"20S proteasome","552654"
"20S proteasome","LOC409802"
"20S proteasome","408986"
"20S proteasome","LOC113218560"
"20S proteasome","551956"
"20S proteasome","411520"
"20S proteasome","LOC409831"
"20S proteasome","552579"
"20S proteasome","409978"
"20S proteasome","LOC100578243"
"20S proteasome","408353"
"26S proteasome","409198"
"26S proteasome","552654"
"26S proteasome","LOC409802"
"26S proteasome","408986"
"26S proteasome","LOC113218560"
"26S proteasome","551956"
